variant,seeds,position_rmse_mean,position_rmse_std,ate_mean,ate_std,unique_after_resampling_mean,unique_after_resampling_std,ess_mean_mean,ess_mean_std,nees_median_mean,nees_median_std,runtime_per_step_ms_mean,runtime_per_step_ms_std
"resampler: Multinomial, n_particles: 50",20,0.783708,1.04727,0.480549,0.419408,0.472,0.11542,0.560052,0.185187,1.95584e+08,8.74676e+08,0.554293,0.0115459
"resampler: Multinomial, n_particles: 200",20,0.251994,0.216821,0.195844,0.149996,0.525492,0.034828,0.667676,0.0825502,9.17589,37.17,2.16185,0.0289276
"resampler: Multinomial, n_particles: 1000",20,0.129061,0.022707,0.106862,0.0176586,0.540817,0.005507,0.70479,0.0159193,0.446581,0.164523,30.8494,0.220735
"resampler: Residual, n_particles: 50",20,0.672262,0.580282,0.46451,0.297804,0.558433,0.117864,0.555118,0.173281,651.024,1862.24,0.695304,0.0299541
"resampler: Residual, n_particles: 200",20,0.269289,0.201621,0.209809,0.148978,0.623617,0.0455113,0.656296,0.0796652,2.66822,7.44541,2.19135,0.0671059
"resampler: Residual, n_particles: 1000",20,0.129649,0.0231704,0.107982,0.0184908,0.650098,0.00986619,0.70457,0.0159644,0.469365,0.192117,19.8604,0.88011
"resampler: Stratified, n_particles: 50",20,0.851398,1.08416,0.50216,0.417237,0.566467,0.164326,0.542135,0.208699,263497,1.17349e+06,0.632555,0.0139771
"resampler: Stratified, n_particles: 200",20,0.246524,0.196245,0.195733,0.135435,0.651592,0.0421544,0.665365,0.0735552,3.72327,13.5005,3.03109,0.0171421
"resampler: Stratified, n_particles: 1000",20,0.129529,0.0247938,0.106996,0.0198897,0.672952,0.00933488,0.705522,0.0158752,0.458049,0.169847,49.0532,1.71223
"resampler: Systematic, n_particles: 50",20,0.649294,0.465379,0.462873,0.276788,0.6186,0.113657,0.556876,0.157595,264.934,663.778,0.299316,0.0102284
"resampler: Systematic, n_particles: 200",20,0.251624,0.184093,0.195974,0.123339,0.686933,0.051759,0.658934,0.0784016,4.50713,16.6054,0.592065,0.0130818
"resampler: Systematic, n_particles: 1000",20,0.129832,0.0245729,0.107029,0.0194159,0.714558,0.0106708,0.704537,0.0162397,0.447662,0.178089,2.10645,0.498266
