run_id,seed,variant,host,date,code,resampler,n_particles,ate,resample_rate,collapses,unique_after_resampling,max_weight_mean,ess_mean,ess_min,map_error,map_error_aligned,landmarks_mapped,nees_mean,nees_median,position_rmse,heading_rmse,final_position_error,runtime_total_s,runtime_per_step_ms
b71eedcbec81,0,"resampler: Multinomial, n_particles: 10",aiserver,2026-09-14T08:33:39+00:00,d7328d3e3c3f,multinomial,10,0.299209,1,0,0.632,0.1,0.900852,0.636111,0.520088,0.0954666,8,308786,777.42,0.588703,0.0375338,0.312821,0.755042,1.51008
4c32a371f674,1,"resampler: Multinomial, n_particles: 10",aiserver,2026-09-14T08:33:39+00:00,d7328d3e3c3f,multinomial,10,0.237489,1,0,0.6266,0.1,0.890171,0.455455,1.04947,0.0708297,8,3.49638e+06,5098.75,1.0837,0.0412147,1.09686,0.752377,1.50475
86287716e7ba,2,"resampler: Multinomial, n_particles: 10",aiserver,2026-09-14T08:33:39+00:00,d7328d3e3c3f,multinomial,10,0.410239,1,0,0.622,0.1,0.887969,0.510535,2.71875,0.184583,8,1.48033e+06,9284.09,2.43228,0.182138,2.63046,0.755946,1.51189
8346d4d8f935,3,"resampler: Multinomial, n_particles: 10",aiserver,2026-09-14T08:33:39+00:00,d7328d3e3c3f,multinomial,10,0.273403,1,0,0.6294,0.1,0.896684,0.541303,0.157622,0.138211,8,38449.4,117.6,0.305691,0.0293725,0.385735,0.753296,1.50659
d0ee6f83712e,4,"resampler: Multinomial, n_particles: 10",aiserver,2026-09-14T08:33:39+00:00,d7328d3e3c3f,multinomial,10,0.265936,1,0,0.6282,0.1,0.8872,0.592578,0.575975,0.0807084,8,43018.9,761.987,0.538748,0.0580306,0.391177,0.748179,1.49636
dd78685f0219,5,"resampler: Multinomial, n_particles: 10",aiserver,2026-09-14T08:33:39+00:00,d7328d3e3c3f,multinomial,10,0.284046,1,0,0.6208,0.1,0.890225,0.610971,0.218105,0.17008,8,146755,112.498,0.325613,0.0346121,0.706377,0.754383,1.50877
6b188d9b22de,6,"resampler: Multinomial, n_particles: 10",aiserver,2026-09-14T08:33:39+00:00,d7328d3e3c3f,multinomial,10,0.340609,1,0,0.6162,0.1,0.894033,0.401552,0.489218,0.197655,8,35887,110.221,0.510544,0.0603868,0.995529,0.75768,1.51536
1eb3fbffca50,7,"resampler: Multinomial, n_particles: 10",aiserver,2026-09-14T08:33:39+00:00,d7328d3e3c3f,multinomial,10,0.296929,1,0,0.6272,0.1,0.894697,0.473816,1.59412,0.132963,8,1.49349e+06,4735.17,1.55961,0.103071,1.15934,0.758546,1.51709
60931036e1c2,8,"resampler: Multinomial, n_particles: 10",aiserver,2026-09-14T08:33:39+00:00,d7328d3e3c3f,multinomial,10,0.28497,1,0,0.632,0.1,0.893578,0.56666,2.00371,0.109298,8,91749.9,5268.72,1.80607,0.13459,1.66349,0.757749,1.5155
eea75baf5758,9,"resampler: Multinomial, n_particles: 10",aiserver,2026-09-14T08:33:39+00:00,d7328d3e3c3f,multinomial,10,0.389801,1,0,0.6238,0.1,0.890614,0.409632,0.91598,0.101132,8,2.65625e+06,4934.4,0.917737,0.0395049,0.989589,0.751968,1.50394
3a10f9664480,10,"resampler: Multinomial, n_particles: 10",aiserver,2026-09-14T08:33:39+00:00,d7328d3e3c3f,multinomial,10,0.399,1,0,0.618,0.1,0.900001,0.479413,1.20951,0.220081,8,4.66545e+06,3840.35,1.23996,0.0874822,1.81872,0.75316,1.50632
b7f1f0196fd2,11,"resampler: Multinomial, n_particles: 10",aiserver,2026-09-14T08:33:39+00:00,d7328d3e3c3f,multinomial,10,0.286044,1,0,0.621,0.1,0.899273,0.613284,0.528806,0.12587,8,603898,527.521,0.594175,0.0472042,1.04784,0.763498,1.527
d3d7b6a499fd,12,"resampler: Multinomial, n_particles: 10",aiserver,2026-09-14T08:33:39+00:00,d7328d3e3c3f,multinomial,10,0.251728,1,0,0.624,0.1,0.886167,0.482043,0.509627,0.129322,8,16499.2,524.461,0.582937,0.0452389,0.248531,0.750961,1.50192
41ac735d80c3,13,"resampler: Multinomial, n_particles: 10",aiserver,2026-09-14T08:33:39+00:00,d7328d3e3c3f,multinomial,10,0.285267,1,0,0.6196,0.1,0.901067,0.619416,0.457765,0.127013,8,73585.6,188.459,0.483634,0.0449815,0.6397,0.748712,1.49742
