run_id,seed,variant,host,date,code,trigger,ate,resample_rate,collapses,unique_after_resampling,max_weight_mean,ess_mean,ess_min,nees_mean,nees_median,position_rmse,heading_rmse,final_position_error,runtime_total_s,runtime_per_step_ms
c2aedf6e62d2,0,Every step,aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,every_step,0.222616,1,0,0.679667,0.01,0.644371,0.0225834,882.63,0.938309,0.25527,0.656063,0.121749,0.0122387,0.407955
ea48f7226a09,1,Every step,aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,every_step,0.666043,1,0,0.561,0.01,0.473874,0.010834,2.31262e+06,10.2434,0.851836,1.13117,0.072382,0.012157,0.405233
82bf8f2b2980,2,Every step,aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,every_step,0.275942,1,0,0.652667,0.01,0.608565,0.0121209,4.4977e+06,2.50589,0.386828,0.909758,0.065126,0.012089,0.402967
5a7d20c4ec5c,3,Every step,aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,every_step,0.185431,1,0,0.689333,0.01,0.658805,0.0155143,72.6133,1.19407,0.237595,0.494557,0.0494216,0.0121559,0.405196
88b295da9603,4,Every step,aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,every_step,0.817555,1,0,0.46,0.01,0.324688,0.0142897,164755,188.148,1.21917,1.36521,0.138629,0.0115722,0.385742
004ec71e06fd,5,Every step,aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,every_step,0.886801,1,0,0.410333,0.01,0.268712,0.0100395,2.98947e+08,614.618,1.4083,1.63937,0.134688,0.0120874,0.402912
6f3ec2640111,6,Every step,aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,every_step,0.230206,1,0,0.697,0.01,0.67432,0.0146932,1.0184e+06,1.14842,0.255166,0.65472,0.154555,0.0121748,0.405827
d93020b1b1ef,7,Every step,aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,every_step,0.283279,1,0,0.682,0.01,0.646495,0.0115505,1133.17,1.63446,0.422917,0.563823,0.0628904,0.0116217,0.387392
cef908ecf66e,8,Every step,aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,every_step,0.180384,1,0,0.696667,0.01,0.679408,0.0109852,2.79258e+06,0.597093,0.244659,0.349475,0.109936,0.0120212,0.400706
cbf3ddb166f4,9,Every step,aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,every_step,0.538439,1,0,0.581667,0.01,0.503102,0.0186666,1.14819e+07,2.98743,0.685126,0.830671,0.103843,0.0122673,0.408911
d7180a69a806,10,Every step,aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,every_step,0.109137,1,0,0.743333,0.01,0.746629,0.0121008,1.3401e+06,0.456841,0.146857,0.142241,0.101748,0.0116316,0.38772
330724ffa692,11,Every step,aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,every_step,0.219919,1,0,0.685333,0.01,0.653597,0.0279709,12.8817,1.50276,0.287534,0.4213,0.150877,0.011464,0.382133
99c2be9ef9a2,12,Every step,aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,every_step,0.107589,1,0,0.733667,0.01,0.73056,0.0100003,8.65751e+06,0.516533,0.113172,0.171815,0.0866196,0.0116274,0.38758
57110e0f9886,13,Every step,aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,every_step,0.400124,1,0,0.648,0.01,0.584193,0.0110375,136.313,2.2909,0.598981,0.684024,0.174085,0.0115515,0.385051
ab2bc3f47296,14,Every step,aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,every_step,0.21736,1,0,0.703333,0.01,0.67929,0.010425,1.94705e+06,1.23084,0.263707,0.322232,0.142757,0.0115416,0.384718
d4e3dcd302d0,15,Every step,aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,every_step,0.216097,1,0,0.720667,0.01,0.701794,0.0102357,484751,0.412348,0.276694,0.14014,0.120176,0.0122175,0.40725
9b17fe022a82,16,Every step,aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,every_step,0.588921,1,0,0.599333,0.01,0.509773,0.0238132,218021,12.1007,0.784001,1.03665,0.0565391,0.0120667,0.402222
9ba3b7b5758c,17,Every step,aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,every_step,0.155507,1,0,0.700333,0.01,0.685137,0.0314188,7.49347,0.786026,0.181193,0.270407,0.143068,0.0119031,0.396769
97d9c494d2f3,18,Every step,aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,every_step,0.168467,1,0,0.687333,0.01,0.666407,0.0153564,2.20302,0.632344,0.183434,0.732827,0.149222,0.0114705,0.38235
14210ce4738b,19,Every step,aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,every_step,0.592369,1,0,0.502,0.01,0.38995,0.0113481,1.39113e+06,78.2166,0.902724,1.08048,0.060283,0.0118918,0.396393
780ecad88497,0,Never,aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,never,1.16017,0,0,1,0.957282,0.0110192,0.01,2.91353e+09,2.9709e+09,1.55755,1.10877,1.55202,0.00459327,0.153109
249f90f03c42,1,Never,aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,never,1.216,0,0,1,0.984208,0.0103624,0.01,1.99706e+09,6.53478e+08,1.47657,1.27471,0.492407,0.00459625,0.153208
d8f8234ec487,2,Never,aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,never,1.28904,0,0,1,0.993393,0.0101424,0.01,3.20434e+09,2.7065e+09,1.71729,1.23502,2.95828,0.0046136,0.153787
c29ce5ff8016,3,Never,aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,never,0.343004,0,0,1,0.947052,0.0114461,0.01,2.08324e+09,9.79183e+08,1.4081,0.921594,2.84124,0.00540483,0.180161
d595c2d8d739,4,Never,aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,never,1.06329,0,0,1,0.975011,0.0107005,0.01,1.09309e+09,5.50563e+08,1.0685,1.48796,0.794173,0.00514008,0.171336
469b8d920e76,5,Never,aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,never,0.564003,0,0,1,0.99558,0.0100943,0.01,1.33818e+09,1.21487e+09,1.16149,1.17178,1.4257,0.0050769,0.16923
df074af7a60a,6,Never,aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,never,0.868037,0,0,1,0.990971,0.0102065,0.01,1.57472e+09,5.68199e+08,1.23597,0.813343,0.598065,0.00510846,0.170282
f8aebf3a7c3c,7,Never,aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,never,0.571403,0,0,1,0.976179,0.0106471,0.01,4.01382e+08,1.99019e+08,0.621415,0.808693,1.18981,0.00516455,0.172152
3a655312317f,8,Never,aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,never,1.79734,0,0,1,0.995316,0.0100995,0.01,3.84895e+09,2.75377e+09,2.01248,1.02345,1.71803,0.005298,0.1766
b6b4ae666e6c,9,Never,aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,never,1.11442,0,0,1,0.984236,0.0103556,0.01,3.40421e+09,2.67572e+09,1.7101,1.22439,2.55782,0.00545857,0.181952
cf5bed93e2b7,10,Never,aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,never,0.490503,0,0,1,0.979502,0.0104576,0.01,3.42545e+08,3.0308e+08,0.597644,0.395469,0.873499,0.00523699,0.174566
a71b4f45688a,11,Never,aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,never,0.418504,0,0,1,0.959639,0.0111721,0.01,2.62693e+09,2.10327e+09,1.59519,0.789502,2.74695,0.00456822,0.152274
8633aafca52c,12,Never,aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,never,0.73229,0,0,1,0.999497,0.0100102,0.01,1.30506e+09,1.42894e+09,1.17649,0.446615,1.2777,0.00461311,0.15377
181a07b47962,13,Never,aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,never,1.45452,0,0,1,0.995158,0.0101048,0.01,3.60184e+09,3.95353e+09,1.85945,1.06146,2.39411,0.00462402,0.154134
