run_id,seed,variant,host,date,code,proposal,n_particles,ate,resample_rate,collapses,unique_after_resampling,max_weight_mean,ess_mean,ess_min,nees_mean,nees_median,position_rmse,heading_rmse,final_position_error,runtime_total_s,runtime_per_step_ms
e5fc110f6f1e,0,"proposal: Motion model, n_particles: 50",aiserver,2026-09-14T08:33:57+00:00,d7328d3e3c3f,motion_model,50,0.238425,0.433333,0,0.469231,0.0381572,0.534775,0.02042,5.1915e+07,0.55654,0.30535,0.348462,0.146594,0.00740935,0.246978
52027bbdcee8,1,"proposal: Motion model, n_particles: 50",aiserver,2026-09-14T08:33:57+00:00,d7328d3e3c3f,motion_model,50,0.649722,0.666667,0,0.376,0.0308246,0.367495,0.02,2.53098e+08,94.1499,0.922091,1.2,0.108729,0.00835792,0.278597
10074ba106c9,2,"proposal: Motion model, n_particles: 50",aiserver,2026-09-14T08:33:57+00:00,d7328d3e3c3f,motion_model,50,0.180347,0.433333,0,0.455385,0.038606,0.519283,0.0241019,49686.5,1.90293,0.318318,0.150626,0.0546795,0.00746021,0.248674
551744620792,3,"proposal: Motion model, n_particles: 50",aiserver,2026-09-14T08:33:57+00:00,d7328d3e3c3f,motion_model,50,0.802593,0.833333,0,0.3736,0.0255144,0.288508,0.0200064,2.46611e+08,1191.28,1.55618,1.24258,0.125444,0.00859436,0.286479
bec7e058409b,4,"proposal: Motion model, n_particles: 50",aiserver,2026-09-14T08:33:57+00:00,d7328d3e3c3f,motion_model,50,0.683009,0.733333,0,0.412727,0.0276015,0.382249,0.0200001,1.3707e+08,125.625,0.95375,0.814601,0.0951344,0.0081609,0.27203
c27feb53e303,5,"proposal: Motion model, n_particles: 50",aiserver,2026-09-14T08:33:57+00:00,d7328d3e3c3f,motion_model,50,0.420261,0.533333,0,0.475,0.0335814,0.511604,0.0202224,7.05631e+07,1.22626,0.493132,0.355487,0.0756608,0.00734864,0.244955
19fdc859004b,6,"proposal: Motion model, n_particles: 50",aiserver,2026-09-14T08:33:57+00:00,d7328d3e3c3f,motion_model,50,0.171215,0.4,0,0.44,0.0390839,0.531581,0.0385226,1443.94,0.838699,0.219516,0.287196,0.156434,0.00685635,0.228545
76d24eb513da,7,"proposal: Motion model, n_particles: 50",aiserver,2026-09-14T08:33:57+00:00,d7328d3e3c3f,motion_model,50,0.902027,0.766667,0,0.38,0.0293549,0.320789,0.0202695,3.47927e+08,670.529,1.24492,1.57812,0.128251,0.00835203,0.278401
4657ada949f2,8,"proposal: Motion model, n_particles: 50",aiserver,2026-09-14T08:33:57+00:00,d7328d3e3c3f,motion_model,50,0.846115,0.766667,0,0.355652,0.0286466,0.315308,0.0200157,2.44689e+08,484.019,1.17033,1.37667,0.0898558,0.00889923,0.296641
0ef73ae47691,9,"proposal: Motion model, n_particles: 50",aiserver,2026-09-14T08:33:57+00:00,d7328d3e3c3f,motion_model,50,1.0235,0.9,0,0.296296,0.0256114,0.188156,0.0203738,2.07377e+06,2815.14,1.71569,1.45412,0.337143,0.0093738,0.31246
9cea6402fe9f,10,"proposal: Motion model, n_particles: 50",aiserver,2026-09-14T08:33:57+00:00,d7328d3e3c3f,motion_model,50,0.315213,0.466667,0,0.421429,0.0383382,0.491898,0.0405059,31399.1,1.36779,0.410513,0.679631,0.151483,0.00713098,0.237699
8b4108c42f2c,11,"proposal: Motion model, n_particles: 50",aiserver,2026-09-14T08:33:57+00:00,d7328d3e3c3f,motion_model,50,0.458089,0.533333,0,0.4625,0.0345021,0.48611,0.027102,3.16427e+07,22.7234,0.550647,0.855975,0.160932,0.00732672,0.244224
0c12a498e0a9,12,"proposal: Motion model, n_particles: 50",aiserver,2026-09-14T08:33:57+00:00,d7328d3e3c3f,motion_model,50,0.331644,0.4,0,0.393333,0.0393217,0.509117,0.0224453,4.42091e+07,1.00858,0.334326,0.83582,0.0516792,0.0066846,0.22282
c872e871fba0,13,"proposal: Motion model, n_particles: 50",aiserver,2026-09-14T08:33:57+00:00,d7328d3e3c3f,motion_model,50,0.223201,0.433333,0,0.486154,0.0387929,0.525089,0.0258218,6.93711e+06,0.859063,0.243579,0.42887,0.144893,0.00695996,0.231999
091c7a01b589,14,"proposal: Motion model, n_particles: 50",aiserver,2026-09-14T08:33:57+00:00,d7328d3e3c3f,motion_model,50,0.112254,0.366667,0,0.456364,0.0386097,0.5624,0.0200001,4.05663e+07,0.929128,0.142573,0.331626,0.125113,0.00685504,0.228501
70b550b21061,15,"proposal: Motion model, n_particles: 50",aiserver,2026-09-14T08:33:57+00:00,d7328d3e3c3f,motion_model,50,0.628837,0.666667,0,0.435,0.031337,0.400341,0.0200014,2.12482e+08,94.3413,0.811948,1.01551,0.111839,0.00796784,0.265595
79961273cfdc,16,"proposal: Motion model, n_particles: 50",aiserver,2026-09-14T08:33:57+00:00,d7328d3e3c3f,motion_model,50,0.470622,0.533333,0,0.44125,0.0336974,0.489514,0.0200327,8.44763e+07,0.231878,0.566478,0.307385,0.0106647,0.00737377,0.245792
0fe93b251309,17,"proposal: Motion model, n_particles: 50",aiserver,2026-09-14T08:33:57+00:00,d7328d3e3c3f,motion_model,50,0.242333,0.5,0,0.485333,0.035113,0.509327,0.0231538,2117.27,1.55594,0.26902,0.400801,0.110001,0.00722859,0.240953
16d59e721b01,18,"proposal: Motion model, n_particles: 50",aiserver,2026-09-14T08:33:57+00:00,d7328d3e3c3f,motion_model,50,0.87135,0.8,0,0.359167,0.0277565,0.294593,0.0214955,1.05108e+07,577.133,1.25551,1.41517,0.179562,0.00845558,0.281853
8534a6798f46,19,"proposal: Motion model, n_particles: 50",aiserver,2026-09-14T08:33:57+00:00,d7328d3e3c3f,motion_model,50,0.107207,0.366667,0,0.469091,0.0411234,0.562741,0.0202206,3.10741e+06,0.654919,0.146688,0.0995541,0.0116348,0.00658762,0.219587
