variant,seeds,position_rmse_mean,position_rmse_std,ate_mean,ate_std,ess_mean_mean,ess_mean_std,nees_median_mean,nees_median_std,runtime_per_step_ms_mean,runtime_per_step_ms_std
"proposal: Motion model, n_particles: 50",20,0.681528,0.489604,0.483898,0.294696,0.439544,0.110111,304.304,670.554,0.255639,0.0265267
"proposal: Motion model, n_particles: 100",20,0.457959,0.339279,0.331608,0.214291,0.473761,0.0886112,45.8909,142.381,0.318201,0.0280453
"proposal: Motion model, n_particles: 300",20,0.295922,0.391763,0.218634,0.215638,0.500447,0.102008,37.9761,159.827,0.588381,0.061761
"proposal: Motion model, n_particles: 1000",20,0.131094,0.0269752,0.106739,0.0211602,0.546108,0.0170579,0.460757,0.157471,2.79432,0.724289
"proposal: Auxiliary PF, n_particles: 50",20,0.624142,0.579195,0.425904,0.291891,0.67253,0.213552,515.408,1520.92,0.450068,0.0409408
"proposal: Auxiliary PF, n_particles: 100",20,0.263826,0.118664,0.215182,0.0932001,0.785764,0.0529346,0.91889,0.884768,0.559882,0.0225592
"proposal: Auxiliary PF, n_particles: 300",20,0.210419,0.194583,0.16995,0.140294,0.799498,0.0838658,2.77596,9.54747,1.01931,0.054107
"proposal: Auxiliary PF, n_particles: 1000",20,0.119145,0.0173818,0.0990919,0.0144099,0.832653,0.010768,0.411029,0.148822,2.47909,0.0311238
"proposal: Extended Kalman PF, n_particles: 50",20,0.592273,0.458931,0.322181,0.169117,0.181544,0.079456,17594.2,71300.3,1.82712,0.0241981
"proposal: Extended Kalman PF, n_particles: 100",20,0.470244,0.504001,0.240108,0.126631,0.191715,0.0831656,522.104,1279.22,2.63028,0.0458301
"proposal: Extended Kalman PF, n_particles: 300",20,0.356353,0.294775,0.235613,0.134839,0.202468,0.0565153,42.3276,171.979,5.79328,0.139851
"proposal: Extended Kalman PF, n_particles: 1000",20,0.253173,0.136925,0.180885,0.0829396,0.217617,0.0262479,0.667185,0.648184,15.2103,0.873007
