run_id,seed,variant,host,date,code,proposal,n_particles,ate,resample_rate,collapses,unique_after_resampling,max_weight_mean,ess_mean,ess_min,map_error,map_error_aligned,landmarks_mapped,nees_mean,nees_median,position_rmse,heading_rmse,final_position_error,runtime_total_s,runtime_per_step_ms
ee081aa043fc,0,"proposal: FastSLAM 1.0, n_particles: 5",aiserver,2026-09-14T08:34:03+00:00,d7328d3e3c3f,fastslam1,5,0.380495,0.278,0,0.62446,0.28136,0.762502,0.331079,1.48954,0.132063,8,5.04533e+07,3424.14,1.3527,0.110512,1.08821,0.637653,1.27531
3b65cd59b08f,1,"proposal: FastSLAM 1.0, n_particles: 5",aiserver,2026-09-14T08:34:03+00:00,d7328d3e3c3f,fastslam1,5,0.403088,0.276,0,0.608696,0.276591,0.765542,0.322832,1.51744,0.218324,8,1.6538e+08,19182.4,1.54414,0.0764535,1.57781,0.641875,1.28375
69bf6199afab,2,"proposal: FastSLAM 1.0, n_particles: 5",aiserver,2026-09-14T08:34:03+00:00,d7328d3e3c3f,fastslam1,5,0.308572,0.288,0,0.626389,0.279275,0.754507,0.287074,0.739979,0.148485,8,2.45667e+07,2557.69,0.677046,0.0517683,0.782595,0.642617,1.28523
6c895cf575d1,3,"proposal: FastSLAM 1.0, n_particles: 5",aiserver,2026-09-14T08:34:03+00:00,d7328d3e3c3f,fastslam1,5,0.280272,0.262,0,0.610687,0.28415,0.757496,0.373037,1.95048,0.0711906,8,1.00755e+08,6971.3,1.71059,0.142098,1.81817,0.638039,1.27608
b5707e950110,4,"proposal: FastSLAM 1.0, n_particles: 5",aiserver,2026-09-14T08:34:03+00:00,d7328d3e3c3f,fastslam1,5,0.330755,0.256,0,0.629687,0.286671,0.763428,0.274387,1.25495,0.157753,8,1.55855e+07,694.269,1.01602,0.110435,0.737368,0.64383,1.28766
19dd9e8ec4b6,5,"proposal: FastSLAM 1.0, n_particles: 5",aiserver,2026-09-14T08:34:03+00:00,d7328d3e3c3f,fastslam1,5,0.361167,0.266,0,0.633083,0.28487,0.761364,0.346069,2.10199,0.16528,8,1.35583e+08,20603,1.87284,0.123885,1.49081,0.649126,1.29825
59d31a5ee9ab,6,"proposal: FastSLAM 1.0, n_particles: 5",aiserver,2026-09-14T08:34:03+00:00,d7328d3e3c3f,fastslam1,5,0.291746,0.25,0,0.6368,0.281856,0.770665,0.280562,0.599603,0.0744039,8,2.84577e+07,3149.93,0.608876,0.0366025,0.824348,0.639788,1.27958
8ee4f4f33e48,7,"proposal: FastSLAM 1.0, n_particles: 5",aiserver,2026-09-14T08:34:03+00:00,d7328d3e3c3f,fastslam1,5,0.265054,0.262,0,0.635115,0.281808,0.768052,0.39139,0.335006,0.153758,8,7.09998e+06,865.272,0.359949,0.0321469,0.601981,0.637834,1.27567
7ee14c1f686f,8,"proposal: FastSLAM 1.0, n_particles: 5",aiserver,2026-09-14T08:34:03+00:00,d7328d3e3c3f,fastslam1,5,0.317978,0.272,0,0.626471,0.279555,0.765769,0.397291,0.774908,0.18094,8,2.74087e+07,1711.44,0.798619,0.070942,1.02479,0.638929,1.27786
fc0f88ee7fad,9,"proposal: FastSLAM 1.0, n_particles: 5",aiserver,2026-09-14T08:34:03+00:00,d7328d3e3c3f,fastslam1,5,0.273247,0.27,0,0.631111,0.283788,0.764076,0.425421,0.558382,0.160362,8,2.13521e+07,2387.64,0.559669,0.0415556,0.715822,0.637001,1.274
0e4a90453e2f,10,"proposal: FastSLAM 1.0, n_particles: 5",aiserver,2026-09-14T08:34:03+00:00,d7328d3e3c3f,fastslam1,5,0.287344,0.258,0,0.623256,0.283336,0.766031,0.330029,1.55987,0.162238,8,7.18206e+07,4956.4,1.38232,0.112389,1.02191,0.63324,1.26648
