run_id,seed,variant,host,date,code,n_particles,ate,resample_rate,collapses,unique_after_resampling,max_weight_mean,ess_mean,ess_min,nees_mean,nees_median,position_rmse,heading_rmse,final_position_error,runtime_total_s,runtime_per_step_ms
2922767df56b,0,10,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,10,0.842417,0.933333,0,0.317857,0.112402,0.241013,0.1,3.97557e+09,3.46607e+08,3.1233,1.10896,1.48584,0.00617077,0.205692
de3a37fc9a56,1,10,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,10,0.662446,0.633333,0,0.426316,0.144522,0.420791,0.1,3.53545e+08,353.88,1.12538,0.874284,0.0328195,0.00507596,0.169199
cc7e7513dfce,2,10,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,10,0.534335,0.633333,0,0.357895,0.162962,0.390215,0.1,7.78597e+08,23370.5,1.54144,0.651219,0.292778,0.00507795,0.169265
3be525bf9e8b,3,10,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,10,1.62125,0.966667,0,0.265517,0.103111,0.208908,0.100077,1.33008e+10,9.49269e+09,3.77541,2.38518,5.41368,0.00620813,0.206938
615c68bf62b2,4,10,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,10,0.174653,0.333333,0,0.42,0.166068,0.586989,0.1,1.72799e+07,8.47008,0.218582,0.256515,0.084214,0.00490652,0.163551
27e4bed2d6d8,5,10,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,10,0.383534,0.333333,0,0.42,0.172888,0.585334,0.100098,8.02534e+07,17.5061,0.488155,0.460359,0.126947,0.00487833,0.162611
856ddc64af4b,6,10,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,10,0.65793,0.766667,0,0.413043,0.136699,0.349505,0.10003,6.10874e+08,16938.8,1.93674,0.783704,0.340031,0.00580083,0.193361
be941eecd4fe,7,10,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,10,0.568027,0.733333,0,0.422727,0.146328,0.3574,0.1,1.92586e+08,14273.5,1.44783,0.560796,0.324437,0.00577088,0.192363
8ce0a70ff3f8,8,10,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,10,0.666783,0.533333,0,0.4375,0.159097,0.482431,0.100009,3.69056e+08,66.9186,0.841715,0.675707,0.220026,0.00530562,0.176854
6df709729eaf,9,10,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,10,1.33666,0.966667,0,0.341379,0.10383,0.270607,0.1,3.97717e+09,3.07549e+07,2.89633,1.58867,0.601545,0.00612522,0.204174
cd6f59bfedc3,10,10,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,10,0.420741,0.466667,0,0.428571,0.171638,0.493783,0.1,9.58342e+07,866.652,0.610471,0.764051,0.159384,0.0051366,0.17122
8c0f5e4a18b0,11,10,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,10,0.374335,0.533333,0,0.45625,0.160417,0.497043,0.1,8.46492e+07,20.8069,0.493418,0.485911,0.0887138,0.00478495,0.159498
d0ef4aa889eb,12,10,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,10,1.01204,0.633333,0,0.436842,0.152403,0.441536,0.1,9.25192e+08,1033.56,1.10058,1.34047,0.155694,0.00548145,0.182715
5e6824b9981f,13,10,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,10,2.83617,0.9,0,0.285185,0.117105,0.24569,0.1,7.54008e+09,2.85487e+08,4.08932,2.61718,0.719121,0.00603078,0.201026
4ba7ca4dda82,14,10,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,10,0.381938,0.466667,0,0.442857,0.165635,0.529799,0.1,6.88765e+07,258.654,0.678394,0.469008,0.279848,0.00459304,0.153101
9c6d80c83a3f,15,10,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,10,0.576884,0.666667,0,0.44,0.158819,0.417207,0.1,2.64813e+08,1066.38,0.915487,0.752009,0.52699,0.00561736,0.187245
ccb733ef5bec,16,10,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,10,1.07932,0.9,0,0.359259,0.111445,0.288427,0.100234,9.69112e+08,341283,2.02518,1.46162,0.893914,0.00611948,0.203983
1291bc7b5415,17,10,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,10,0.506927,0.566667,0,0.417647,0.158839,0.442272,0.1,1.15952e+08,434.077,0.943326,0.356036,0.144661,0.00539681,0.179894
b4deecf6b994,18,10,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,10,0.66817,0.8,0,0.383333,0.127861,0.352094,0.1,2.81768e+08,9100.27,1.32923,0.926497,0.553862,0.00573156,0.191052
6a5f2df1052b,19,10,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,10,0.272245,0.366667,0,0.445455,0.172247,0.584282,0.1,2.65704e+07,9.99247,0.356318,0.274361,0.334453,0.00500492,0.166831
68418d96a5fc,0,25,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,25,0.243498,0.433333,0,0.470769,0.0701539,0.554125,0.0416043,4.86094e+07,5.40183,0.319848,0.479037,0.0566685,0.00615387,0.205129
5aa5260d9bb3,1,25,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,25,0.751674,0.666667,0,0.366,0.0592722,0.379126,0.0400006,3.42802e+08,543.783,1.12812,1.19497,0.0567427,0.00687657,0.229219
70e406d199d6,2,25,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,25,0.711934,0.666667,0,0.432,0.059388,0.412087,0.0477321,5.8097e+07,55.1538,0.812291,1.27547,0.0817431,0.00677502,0.225834
2f7c1b500f4d,3,25,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,25,0.414372,0.5,0,0.469333,0.0645138,0.531448,0.0431176,2.33611e+07,11.5788,0.430119,0.455003,0.130449,0.00630908,0.210303
b5501b4ff54f,4,25,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,25,0.300482,0.433333,0,0.430769,0.0733938,0.527282,0.04,6.46806e+07,18.3174,0.439393,0.623838,0.133017,0.00606501,0.202167
13162c613c51,5,25,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,25,0.50363,0.733333,0,0.429091,0.0551538,0.392761,0.0400185,1.07153e+08,45.4214,0.792061,0.711465,0.184211,0.00715449,0.238483
6aa8c74a919c,6,25,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,25,0.52898,0.5,0,0.442667,0.0676771,0.505603,0.0433201,7.40895e+07,23.9251,0.620024,0.599978,0.0807901,0.00617435,0.205812
e0b6435c479b,7,25,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,25,0.603663,0.733333,0,0.469091,0.0527824,0.422102,0.0400296,2.23291e+08,15.8081,0.84259,0.747578,0.157735,0.00695615,0.231872
5840b3250126,8,25,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,25,0.346858,0.466667,0,0.442857,0.0673116,0.554269,0.04,1.12241e+08,34.8141,0.470698,0.779425,0.0533408,0.00609891,0.203297
614a7f35f4fb,9,25,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,25,1.32353,0.9,0,0.352593,0.0491076,0.237269,0.04,3.97845e+08,2984.88,1.73177,1.66599,0.652154,0.00745928,0.248643
a22eaa6d1989,10,25,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,25,1.3429,0.933333,0,0.257143,0.0421726,0.196859,0.0401905,1.23128e+09,33301.6,2.67832,1.82183,1.55266,0.00680149,0.226716
52db3132547c,11,25,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,25,0.277939,0.466667,0,0.471429,0.0734388,0.518239,0.0409159,3.93548e+07,3.05764,0.298858,0.503439,0.206926,0.00550119,0.183373
facea8bd809f,12,25,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,25,1.74914,0.966667,0,0.211034,0.0430405,0.142205,0.0424389,4.65303e+09,3.65326e+07,3.45582,2.27305,4.3102,0.00771484,0.257161
bc30d5094115,13,25,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,25,0.325812,0.433333,0,0.458462,0.0695507,0.549098,0.0400572,3.64908e+07,3.2391,0.343235,0.422488,0.130252,0.00638788,0.212929
4084da7a0d75,14,25,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,25,0.216135,0.466667,0,0.46,0.0695465,0.514553,0.0532025,3.98684e+06,2.8089,0.27875,0.41032,0.202914,0.00617451,0.205817
974012bc9438,15,25,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,25,0.860283,0.733333,0,0.458182,0.0551397,0.393853,0.0404275,2.56733e+08,287.97,0.997195,1.34713,0.0529582,0.0070338,0.23446
a81c0125c03f,16,25,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,25,1.07591,0.866667,0,0.332308,0.04992,0.246708,0.04,5.92094e+08,8378.66,1.95605,1.39484,0.417448,0.00683065,0.227688
bd8dc437f9d0,17,25,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,25,0.411094,0.566667,0,0.468235,0.0681363,0.472116,0.0412098,8.83165e+07,78.9697,0.547446,0.805674,0.0925214,0.00631193,0.210398
fd3a152e4481,18,25,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,25,1.07993,1,0,0.322667,0.04,0.193146,0.0407997,8.60002e+08,15755.7,2.41512,1.78826,1.09749,0.00735497,0.245166
cec252de3557,19,25,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,25,0.837119,0.8,0,0.408333,0.0481952,0.353418,0.04,2.72155e+08,1985.19,1.45754,1.23071,0.115517,0.00712729,0.237576
e5fc110f6f1e,0,50,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,50,0.238425,0.433333,0,0.469231,0.0381572,0.534775,0.02042,5.1915e+07,0.55654,0.30535,0.348462,0.146594,0.00662013,0.220671
52027bbdcee8,1,50,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,50,0.649722,0.666667,0,0.376,0.0308246,0.367495,0.02,2.53098e+08,94.1499,0.922091,1.2,0.108729,0.00802369,0.267456
10074ba106c9,2,50,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,50,0.180347,0.433333,0,0.455385,0.038606,0.519283,0.0241019,49686.5,1.90293,0.318318,0.150626,0.0546795,0.00706853,0.235618
551744620792,3,50,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,50,0.802593,0.833333,0,0.3736,0.0255144,0.288508,0.0200064,2.46611e+08,1191.28,1.55618,1.24258,0.125444,0.00863734,0.287911
bec7e058409b,4,50,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,50,0.683009,0.733333,0,0.412727,0.0276015,0.382249,0.0200001,1.3707e+08,125.625,0.95375,0.814601,0.0951344,0.00832064,0.277355
c27feb53e303,5,50,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,50,0.420261,0.533333,0,0.475,0.0335814,0.511604,0.0202224,7.05631e+07,1.22626,0.493132,0.355487,0.0756608,0.00701017,0.233672
19fdc859004b,6,50,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,50,0.171215,0.4,0,0.44,0.0390839,0.531581,0.0385226,1443.94,0.838699,0.219516,0.287196,0.156434,0.00638066,0.212689
76d24eb513da,7,50,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,50,0.902027,0.766667,0,0.38,0.0293549,0.320789,0.0202695,3.47927e+08,670.529,1.24492,1.57812,0.128251,0.00789217,0.263072
4657ada949f2,8,50,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,50,0.846115,0.766667,0,0.355652,0.0286466,0.315308,0.0200157,2.44689e+08,484.019,1.17033,1.37667,0.0898558,0.00900948,0.300316
0ef73ae47691,9,50,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,50,1.0235,0.9,0,0.296296,0.0256114,0.188156,0.0203738,2.07377e+06,2815.14,1.71569,1.45412,0.337143,0.00912346,0.304115
9cea6402fe9f,10,50,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,50,0.315213,0.466667,0,0.421429,0.0383382,0.491898,0.0405059,31399.1,1.36779,0.410513,0.679631,0.151483,0.00771333,0.257111
8b4108c42f2c,11,50,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,50,0.458089,0.533333,0,0.4625,0.0345021,0.48611,0.027102,3.16427e+07,22.7234,0.550647,0.855975,0.160932,0.00786935,0.262312
0c12a498e0a9,12,50,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,50,0.331644,0.4,0,0.393333,0.0393217,0.509117,0.0224453,4.42091e+07,1.00858,0.334326,0.83582,0.0516792,0.00725199,0.241733
c872e871fba0,13,50,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,50,0.223201,0.433333,0,0.486154,0.0387929,0.525089,0.0258218,6.93711e+06,0.859063,0.243579,0.42887,0.144893,0.00732735,0.244245
091c7a01b589,14,50,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,50,0.112254,0.366667,0,0.456364,0.0386097,0.5624,0.0200001,4.05663e+07,0.929128,0.142573,0.331626,0.125113,0.00700035,0.233345
70b550b21061,15,50,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,50,0.628837,0.666667,0,0.435,0.031337,0.400341,0.0200014,2.12482e+08,94.3413,0.811948,1.01551,0.111839,0.00778068,0.259356
79961273cfdc,16,50,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,50,0.470622,0.533333,0,0.44125,0.0336974,0.489514,0.0200327,8.44763e+07,0.231878,0.566478,0.307385,0.0106647,0.00757625,0.252542
0fe93b251309,17,50,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,50,0.242333,0.5,0,0.485333,0.035113,0.509327,0.0231538,2117.27,1.55594,0.26902,0.400801,0.110001,0.00745982,0.248661
16d59e721b01,18,50,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,50,0.87135,0.8,0,0.359167,0.0277565,0.294593,0.0214955,1.05108e+07,577.133,1.25551,1.41517,0.179562,0.00810251,0.270084
8534a6798f46,19,50,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,50,0.107207,0.366667,0,0.469091,0.0411234,0.562741,0.0202206,3.10741e+06,0.654919,0.146688,0.0995541,0.0116348,0.0063396,0.21132
62f301a0d93f,0,100,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,100,0.169273,0.466667,0,0.460714,0.0179054,0.515317,0.0225834,878.063,0.617289,0.19039,0.643282,0.0812229,0.00863873,0.287958
3cb74bfd9aa1,1,100,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,100,0.402912,0.533333,0,0.41,0.0175201,0.449409,0.010834,2.31156e+06,1.42139,0.508912,0.870069,0.123246,0.00909646,0.303215
374190fc56c3,2,100,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,100,0.377096,0.566667,0,0.414706,0.0163198,0.458612,0.0121209,4.49775e+06,4.2576,0.506864,0.971121,0.0663014,0.00919768,0.306589
870ec1377967,3,100,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,100,0.214431,0.5,0,0.468,0.0181643,0.504187,0.0155143,72.7472,1.27675,0.277463,0.512161,0.0380192,0.00882939,0.294313
dd695784ddbc,4,100,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,100,0.799416,0.8,0,0.36625,0.0138776,0.294358,0.0142897,164755,188.148,1.22029,1.36487,0.096321,0.0117862,0.392874
ebc8f7727383,5,100,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,100,0.76313,0.766667,0,0.310435,0.01422,0.263428,0.0100395,2.98943e+08,620.968,1.22947,1.45774,0.0930613,0.0112121,0.373737
ff6e940b7332,6,100,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,100,0.218933,0.466667,0,0.461429,0.0174978,0.539582,0.0146932,1.0184e+06,1.04267,0.239972,0.655349,0.124965,0.00967582,0.322527
39802c4f3f4b,7,100,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,100,0.270426,0.533333,0,0.4725,0.0165451,0.507697,0.0115505,1117.03,1.46255,0.42174,0.557897,0.103549,0.0102698,0.342327
6ab2fd8cf995,8,100,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,100,0.199076,0.433333,0,0.438462,0.0191598,0.512705,0.0109852,2.79258e+06,0.541575,0.263448,0.360615,0.11577,0.00971833,0.323944
38a9d9d467f4,9,100,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,100,0.539952,0.633333,0,0.402632,0.015003,0.421459,0.0186666,1.14819e+07,2.01779,0.682377,0.828009,0.0525049,0.0107199,0.35733
e2151e9955fa,10,100,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,100,0.104459,0.366667,0,0.474545,0.0188982,0.576712,0.0121008,1.3401e+06,0.44303,0.145999,0.147379,0.0854331,0.0090042,0.30014
bcdb967b1b25,11,100,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,100,0.213291,0.466667,0,0.48,0.01838,0.528015,0.0279709,12.4622,0.821109,0.285101,0.418102,0.156755,0.00974253,0.324751
0954de075021,12,100,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,100,0.116299,0.4,0,0.473333,0.018724,0.56446,0.0100003,8.65751e+06,0.599106,0.124855,0.18311,0.113527,0.00920482,0.306827
f45787d16391,13,100,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,100,0.314674,0.533333,0,0.479375,0.0187252,0.480203,0.0110375,127.189,1.34379,0.470441,0.621448,0.179513,0.00945229,0.315076
8a231ff7d009,14,100,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,100,0.21935,0.466667,0,0.467143,0.0175878,0.521254,0.010425,1.94705e+06,1.2062,0.263513,0.326663,0.0968188,0.00894348,0.298116
f4253ed6f63a,15,100,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,100,0.22052,0.4,0,0.4425,0.0202078,0.536745,0.0102357,484751,0.651489,0.286231,0.142355,0.102051,0.00839908,0.279969
5afe471c03a6,16,100,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,100,0.58855,0.7,0,0.437143,0.0137884,0.404188,0.0238132,218021,11.7771,0.783992,1.03685,0.0346556,0.0102478,0.341592
4a32db1de4eb,17,100,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,100,0.144881,0.433333,0,0.476154,0.0187615,0.550804,0.0314188,7.84393,0.533784,0.173072,0.266259,0.109967,0.00869088,0.289696
de42f6823b16,18,100,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,100,0.153615,0.466667,0,0.447143,0.0193437,0.511345,0.0153564,2.03453,0.472284,0.183946,0.7422,0.156527,0.00867736,0.289245
782e86a6d7de,19,100,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,100,0.601868,0.766667,0,0.370435,0.0125039,0.334732,0.0113481,1.39113e+06,78.2166,0.901115,1.08534,0.0408324,0.0110788,0.369292
5c25e09dce75,0,250,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,250,0.101998,0.366667,0,0.455273,0.00806954,0.558523,0.0110845,1.41708,0.389287,0.11532,0.227635,0.106004,0.014548,0.484935
2b51b22ebae0,1,250,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,250,0.388806,0.566667,0,0.439765,0.00641962,0.477229,0.0102592,82.249,0.706541,0.43613,0.928571,0.0534596,0.016766,0.558865
