run_id,seed,variant,host,date,code,n_particles,range_std,ate,resample_rate,collapses,unique_after_resampling,max_weight_mean,ess_mean,ess_min,log_likelihood,log_likelihood_per_step,nees_mean,nees_median,position_rmse,heading_rmse,final_position_error,runtime_total_s,runtime_per_step_ms
d7e18745f4b6,0,"n_particles: 25, range_std: 0.08",labdesktop,2026-09-20T10:04:25+00:00,1073b69d29e5,25,0.08,0.0336545,0.366667,0,0.450909,0.0661963,0.614463,0.0588958,-182.597,-6.08656,173625,8904.54,0.182837,0.0814583,0.320967,0.00315208,0.105069
b4a370f31d5f,1,"n_particles: 25, range_std: 0.08",labdesktop,2026-09-20T10:04:25+00:00,1073b69d29e5,25,0.08,0.0245529,0.4,0,0.466667,0.0710387,0.593719,0.171425,-836.434,-27.8811,117343,20964.4,0.398933,0.117388,0.673937,0.00321444,0.107148
38ccb5cd7bf7,2,"n_particles: 25, range_std: 0.08",labdesktop,2026-09-20T10:04:25+00:00,1073b69d29e5,25,0.08,0.0570209,0.9,0,0.379259,0.0467061,0.294374,0.0403768,-20713.8,-690.461,1.00409e+09,1.85287e+07,1.98016,0.43075,3.18975,0.00396428,0.132143
c3d93af508c4,3,"n_particles: 25, range_std: 0.08",labdesktop,2026-09-20T10:04:25+00:00,1073b69d29e5,25,0.08,0.0782655,0.5,0,0.410667,0.0757443,0.472048,0.0401,-2365.78,-78.8592,4.47756e+06,285701,0.65563,0.190207,1.10541,0.0033308,0.111027
529575d0509a,4,"n_particles: 25, range_std: 0.08",labdesktop,2026-09-20T10:04:25+00:00,1073b69d29e5,25,0.08,0.0567184,0.4,0,0.416667,0.0764232,0.548902,0.0699039,-2643.52,-88.1172,795754,244275,0.681458,0.181417,1.18084,0.00325204,0.108401
be4a72532cf9,5,"n_particles: 25, range_std: 0.08",labdesktop,2026-09-20T10:04:25+00:00,1073b69d29e5,25,0.08,0.0330518,0.366667,0,0.487273,0.0687906,0.646632,0.103048,-97.4991,-3.24997,16274.3,3281.75,0.16442,0.0370477,0.0412235,0.00313704,0.104568
7f8609d65d5f,6,"n_particles: 25, range_std: 0.08",labdesktop,2026-09-20T10:04:25+00:00,1073b69d29e5,25,0.08,0.0401831,0.433333,0,0.443077,0.0729877,0.553481,0.0438584,-110.793,-3.69311,852010,1844.25,0.164945,0.0488654,0.141033,0.00328181,0.109394
73d970e22db4,7,"n_particles: 25, range_std: 0.08",labdesktop,2026-09-20T10:04:25+00:00,1073b69d29e5,25,0.08,0.0310703,0.6,0,0.464444,0.0642146,0.482773,0.0894474,-4718.15,-157.272,2.87083e+06,541530,0.884507,0.207159,1.4802,0.00325531,0.10851
09814ff3af7d,8,"n_particles: 25, range_std: 0.08",labdesktop,2026-09-20T10:04:25+00:00,1073b69d29e5,25,0.08,0.0290012,0.433333,0,0.418462,0.0778972,0.507244,0.0801456,-4061.96,-135.399,6.56525e+06,1.05806e+06,0.849649,0.252729,1.51722,0.00304178,0.101393
25a70b08524d,9,"n_particles: 25, range_std: 0.08",labdesktop,2026-09-20T10:04:25+00:00,1073b69d29e5,25,0.08,0.0493719,0.4,0,0.463333,0.0827496,0.524037,0.0986342,-332.759,-11.092,61784.4,20286.2,0.261786,0.0696905,0.417582,0.00288251,0.0960837
bf3c4da8c7f5,10,"n_particles: 25, range_std: 0.08",labdesktop,2026-09-20T10:04:25+00:00,1073b69d29e5,25,0.08,0.0485699,0.366667,0,0.389091,0.0766026,0.579824,0.0404257,-111.065,-3.70216,1.62577e+06,11082.2,0.19907,0.0459202,0.26789,0.0028622,0.0954066
a2b13af7594b,11,"n_particles: 25, range_std: 0.08",labdesktop,2026-09-20T10:04:25+00:00,1073b69d29e5,25,0.08,0.0320148,0.466667,0,0.488571,0.0697271,0.535921,0.0963303,-661.534,-22.0511,147973,12740.6,0.345736,0.0937358,0.598546,0.00301072,0.100357
8335c3ae733b,12,"n_particles: 25, range_std: 0.08",labdesktop,2026-09-20T10:04:25+00:00,1073b69d29e5,25,0.08,0.0313757,0.3,0,0.417778,0.0806078,0.617241,0.072825,-92.6771,-3.08924,486030,1256.09,0.108999,0.0513081,0.151761,0.00281497,0.0938324
4d0c77bbef85,13,"n_particles: 25, range_std: 0.08",labdesktop,2026-09-20T10:04:25+00:00,1073b69d29e5,25,0.08,0.0355171,0.566667,0,0.385882,0.0695742,0.431907,0.0513212,-14603.1,-486.771,5.01118e+08,3.55681e+06,1.53164,0.353473,2.54661,0.00319265,0.106422
c03846749124,14,"n_particles: 25, range_std: 0.08",labdesktop,2026-09-20T10:04:25+00:00,1073b69d29e5,25,0.08,0.016404,0.433333,0,0.421538,0.0846152,0.503547,0.0622512,-1281.74,-42.7245,434191,19213.2,0.473046,0.140869,0.804674,0.00296503,0.0988343
89727f79a81a,15,"n_particles: 25, range_std: 0.08",labdesktop,2026-09-20T10:04:25+00:00,1073b69d29e5,25,0.08,0.070871,0.266667,0,0.425,0.0807805,0.621425,0.0400413,64.9351,2.1645,1.48025e+06,1767.38,0.115899,0.072589,0.0337368,0.00268862,0.0896206
4c3405f6f588,16,"n_particles: 25, range_std: 0.08",labdesktop,2026-09-20T10:04:25+00:00,1073b69d29e5,25,0.08,0.0555319,0.3,0,0.435556,0.0809579,0.618055,0.0778269,29.4571,0.981903,540133,290.867,0.110331,0.0492213,0.116245,0.00280506,0.0935019
3fa54b449b47,17,"n_particles: 25, range_std: 0.08",labdesktop,2026-09-20T10:04:25+00:00,1073b69d29e5,25,0.08,0.0583055,0.833333,0,0.336,0.0532482,0.269245,0.0400219,-26349.5,-878.317,5.94391e+08,1.01318e+08,2.18193,0.514352,3.67095,0.00353009,0.11767
1d3af8f5f97a,18,"n_particles: 25, range_std: 0.08",labdesktop,2026-09-20T10:04:25+00:00,1073b69d29e5,25,0.08,0.030169,0.466667,0,0.457143,0.0714358,0.520104,0.0999071,-5780.31,-192.677,5.11284e+06,872481,1.03487,0.266554,1.79176,0.00303787,0.101262
e2c008b98d6e,19,"n_particles: 25, range_std: 0.08",labdesktop,2026-09-20T10:04:25+00:00,1073b69d29e5,25,0.08,0.029719,0.366667,0,0.458182,0.0756672,0.602572,0.0859624,-153.135,-5.10451,517431,4114.96,0.209552,0.0767052,0.377705,0.00286444,0.0954815
