variant,seeds,log_likelihood_mean,log_likelihood_std,position_rmse_mean,position_rmse_std
"n_particles: 25, range_std: 0.08",20,-4250.1,7480.14,0.62677,0.624926
"n_particles: 25, range_std: 0.107",20,-1262.76,2221.84,0.488368,0.406628
"n_particles: 25, range_std: 0.142",20,-77.6701,570.929,0.260249,0.248611
"n_particles: 25, range_std: 0.19",20,27.8452,316.08,0.256046,0.248014
"n_particles: 25, range_std: 0.253",20,119.519,185.677,0.20564,0.201062
"n_particles: 25, range_std: 0.337",20,159.285,25.9322,0.158439,0.0866853
"n_particles: 25, range_std: 0.45",20,140.733,17.8598,0.16492,0.0822586
"n_particles: 25, range_std: 0.6",20,105.237,54.2869,0.180058,0.129376
"n_particles: 25, range_std: 0.8",20,70.5484,72.2603,0.186079,0.147469
"n_particles: 100, range_std: 0.08",20,-676.421,1151.04,0.255792,0.233631
"n_particles: 100, range_std: 0.107",20,-136.837,427.85,0.224021,0.183061
"n_particles: 100, range_std: 0.142",20,97.0414,175.389,0.168373,0.143549
"n_particles: 100, range_std: 0.19",20,183.665,64.6664,0.117956,0.0888689
"n_particles: 100, range_std: 0.253",20,194.238,13.9273,0.100115,0.038851
"n_particles: 100, range_std: 0.337",20,179.21,8.79245,0.0968266,0.0341037
"n_particles: 100, range_std: 0.45",20,154.217,8.69443,0.103285,0.0356018
"n_particles: 100, range_std: 0.6",20,126.669,7.16168,0.0992092,0.0269819
"n_particles: 100, range_std: 0.8",20,94.9823,7.26863,0.105625,0.0316005
"n_particles: 500, range_std: 0.08",20,-965.666,2177.43,0.264928,0.322137
"n_particles: 500, range_std: 0.107",20,57.5265,229.603,0.115821,0.115961
"n_particles: 500, range_std: 0.142",20,169.701,59.5589,0.0929186,0.068998
"n_particles: 500, range_std: 0.19",20,203.318,15.6634,0.0725324,0.0271679
"n_particles: 500, range_std: 0.253",20,200.089,9.36414,0.0690026,0.017688
"n_particles: 500, range_std: 0.337",20,182.907,6.74313,0.0715177,0.0188531
"n_particles: 500, range_std: 0.45",20,158.281,5.76285,0.07561,0.0187187
"n_particles: 500, range_std: 0.6",20,128.936,5.63207,0.0823231,0.0218751
"n_particles: 500, range_std: 0.8",20,97.6366,5.00827,0.0871736,0.0226118
"n_particles: 2000, range_std: 0.08",20,-251.983,555.647,0.157082,0.153886
"n_particles: 2000, range_std: 0.107",20,99.1099,90.2538,0.0960994,0.0667544
"n_particles: 2000, range_std: 0.142",20,185.201,23.6768,0.0691715,0.0253296
"n_particles: 2000, range_std: 0.19",20,205.434,12.8745,0.0629212,0.0168797
"n_particles: 2000, range_std: 0.253",20,200.691,8.6802,0.0628541,0.0169296
"n_particles: 2000, range_std: 0.337",20,183.401,6.49252,0.0662853,0.0184348
"n_particles: 2000, range_std: 0.45",20,158.474,5.67299,0.0710838,0.0176205
"n_particles: 2000, range_std: 0.6",20,129.438,5.5932,0.0767907,0.0191167
"n_particles: 2000, range_std: 0.8",20,97.9801,5.65823,0.0824025,0.0203436
