variant,seeds,log_likelihood_mean,log_likelihood_std,position_rmse_mean,position_rmse_std
"resampler: Multinomial, range_std: 0.08",20,-705.868,1068.49,0.263199,0.234597
"resampler: Multinomial, range_std: 0.107",20,-139.627,610.233,0.193831,0.215055
"resampler: Multinomial, range_std: 0.142",20,153.116,72.7496,0.122845,0.0868714
"resampler: Multinomial, range_std: 0.19",20,197.37,25.7041,0.0929201,0.0521157
"resampler: Multinomial, range_std: 0.253",20,194.261,19.2758,0.0945134,0.0548643
"resampler: Multinomial, range_std: 0.337",20,178.124,13.5207,0.0983382,0.0477514
"resampler: Multinomial, range_std: 0.45",20,155.074,8.62138,0.0984038,0.0397638
"resampler: Multinomial, range_std: 0.6",20,126.825,8.25784,0.0998584,0.0378165
"resampler: Multinomial, range_std: 0.8",20,95.8885,8.48363,0.103044,0.0399185
"resampler: Residual, range_std: 0.08",20,-629.664,1016.47,0.256746,0.219506
"resampler: Residual, range_std: 0.107",20,-77.5029,465.489,0.172548,0.183783
"resampler: Residual, range_std: 0.142",20,160.497,87.6675,0.10275,0.084623
"resampler: Residual, range_std: 0.19",20,193.638,38.4181,0.0969627,0.0708149
"resampler: Residual, range_std: 0.253",20,196.552,15.9731,0.0901281,0.0446171
"resampler: Residual, range_std: 0.337",20,179.867,8.91193,0.0910782,0.0396765
"resampler: Residual, range_std: 0.45",20,156.359,6.20876,0.0897932,0.0253917
"resampler: Residual, range_std: 0.6",20,126.496,7.66292,0.0955897,0.0370497
"resampler: Residual, range_std: 0.8",20,96.366,6.62769,0.0998683,0.0376116
"resampler: Stratified, range_std: 0.08",20,-781.07,1057.01,0.293704,0.227306
"resampler: Stratified, range_std: 0.107",20,-176.284,639.507,0.20291,0.229425
"resampler: Stratified, range_std: 0.142",20,167.377,55.6784,0.102892,0.069138
"resampler: Stratified, range_std: 0.19",20,196.815,29.5013,0.0909666,0.0592077
"resampler: Stratified, range_std: 0.253",20,195.761,16.5425,0.0912975,0.0517099
"resampler: Stratified, range_std: 0.337",20,179.063,13.5899,0.0919908,0.0492666
"resampler: Stratified, range_std: 0.45",20,155.502,11.1685,0.0934884,0.0509392
"resampler: Stratified, range_std: 0.6",20,127.689,6.17788,0.0946203,0.0291267
"resampler: Stratified, range_std: 0.8",20,97.2558,6.4947,0.0928911,0.024458
"resampler: Systematic, range_std: 0.08",20,-542.618,1042.38,0.221028,0.224652
"resampler: Systematic, range_std: 0.107",20,-23.3073,401.483,0.153804,0.161772
"resampler: Systematic, range_std: 0.142",20,163.017,58.4441,0.108906,0.0747774
"resampler: Systematic, range_std: 0.19",20,193.779,39.1855,0.0956626,0.0686375
"resampler: Systematic, range_std: 0.253",20,197.383,14.7665,0.0846172,0.0419115
"resampler: Systematic, range_std: 0.337",20,181.174,8.10715,0.0843296,0.0297227
"resampler: Systematic, range_std: 0.45",20,157.255,6.82023,0.0857077,0.0251925
"resampler: Systematic, range_std: 0.6",20,127.782,6.7955,0.0904015,0.0249826
"resampler: Systematic, range_std: 0.8",20,96.1149,7.15405,0.105392,0.0439684
