run_id,seed,variant,host,date,code,forward_std,ate,resample_rate,collapses,unique_after_resampling,max_weight_mean,ess_mean,ess_min,log_likelihood,log_likelihood_per_step,nees_mean,nees_median,position_rmse,heading_rmse,final_position_error,runtime_total_s,runtime_per_step_ms
423812b34dfd,0,0.002,labdesktop,2026-09-20T09:56:19+00:00,1073b69d29e5,0.002,0.0373764,0.233333,0,0.468857,0.0011448,0.64854,0.267505,206.481,6.8827,0.854198,0.71373,0.0388473,0.0388922,0.0205985,0.0675499,2.25166
1625db1596d6,1,0.002,labdesktop,2026-09-20T09:56:19+00:00,1073b69d29e5,0.002,0.0444014,0.3,0,0.522056,0.00105757,0.633022,0.244326,214.69,7.15632,0.966301,0.677977,0.0478124,0.0397814,0.0223474,0.0716475,2.38825
c6faa8659bba,2,0.002,labdesktop,2026-09-20T09:56:19+00:00,1073b69d29e5,0.002,0.0545653,0.3,0,0.475611,0.000960166,0.642366,0.0908532,190.906,6.36353,14.0747,14.5051,0.0795172,0.0444979,0.00712,0.0715017,2.38339
0471910d76b9,3,0.002,labdesktop,2026-09-20T09:56:19+00:00,1073b69d29e5,0.002,0.0377182,0.266667,0,0.512813,0.00112316,0.622434,0.221795,203.553,6.78511,5.35972,4.70864,0.0643892,0.0246273,0.0256824,0.0701784,2.33928
a94013acdac0,4,0.002,labdesktop,2026-09-20T09:56:19+00:00,1073b69d29e5,0.002,0.0423892,0.233333,0,0.468,0.00110068,0.611806,0.244322,200.239,6.67465,6.49349,6.36591,0.0557542,0.0382549,0.0486428,0.0300276,1.00092
c198ac3a7f49,5,0.002,labdesktop,2026-09-20T09:56:19+00:00,1073b69d29e5,0.002,0.0473787,0.233333,0,0.466786,0.00125971,0.623416,0.075277,210.892,7.02973,1.23791,0.982267,0.0483365,0.0522972,0.0208437,0.0298987,0.996623
84dfc90d7c7f,6,0.002,labdesktop,2026-09-20T09:56:19+00:00,1073b69d29e5,0.002,0.0450364,0.366667,0,0.503955,0.00109456,0.577971,0.128452,208.568,6.95228,4.33154,3.69027,0.0595419,0.0427775,0.0206117,0.0352547,1.17516
d4e2d1070479,7,0.002,labdesktop,2026-09-20T09:56:19+00:00,1073b69d29e5,0.002,0.0471998,0.266667,0,0.532062,0.0011252,0.641327,0.256324,213.643,7.12143,3.37186,3.21884,0.0782925,0.0505125,0.0761227,0.0320999,1.07
ad8c878a7969,8,0.002,labdesktop,2026-09-20T09:56:19+00:00,1073b69d29e5,0.002,0.0907378,0.3,0,0.446833,0.00114881,0.595785,0.158779,190.537,6.35122,12.989,10.7842,0.113765,0.0923554,0.0727361,0.0648684,2.16228
2c883e19259d,9,0.002,labdesktop,2026-09-20T09:56:19+00:00,1073b69d29e5,0.002,0.0446271,0.366667,0,0.519318,0.00120477,0.5847,0.223897,196.048,6.53495,1.1103,0.797967,0.0505628,0.0424402,0.0325153,0.03517,1.17233
