run_id,seed,variant,host,date,code,turn_std,ate,resample_rate,collapses,unique_after_resampling,max_weight_mean,ess_mean,ess_min,log_likelihood,log_likelihood_per_step,nees_mean,nees_median,position_rmse,heading_rmse,final_position_error,runtime_total_s,runtime_per_step_ms
298294cb5957,0,0.0008,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.0008,0.0377548,0.233333,0,0.479357,0.00124012,0.623898,0.267687,206.026,6.86754,1.085,0.912608,0.0406624,0.0396289,0.0214425,0.0653929,2.17976
8f6e8b75e34b,1,0.0008,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.0008,0.046278,0.3,0,0.506333,0.00170302,0.5494,0.244442,214.305,7.14349,1.0526,0.866312,0.049052,0.03923,0.0300698,0.0690695,2.30232
4f87bc9be238,2,0.0008,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.0008,0.0510945,0.3,0,0.468333,0.00136434,0.583885,0.0923896,185.609,6.18695,15.2047,13.9274,0.0816146,0.0472526,0.0420026,0.0691105,2.30368
79522916eebe,3,0.0008,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.0008,0.0390989,0.266667,0,0.49525,0.00114998,0.620746,0.150273,204.168,6.8056,5.7544,6.11151,0.0615129,0.0251933,0.0222571,0.0678703,2.26234
76679cbb5a01,4,0.0008,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.0008,0.0438288,0.266667,0,0.486,0.00108246,0.630192,0.24438,199.962,6.6654,10.6418,6.54427,0.0562425,0.038684,0.055425,0.0315871,1.0529
7833d8f68ff5,5,0.0008,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.0008,0.0502006,0.3,0,0.479722,0.00118669,0.622423,0.0589765,209.17,6.97232,1.82009,1.53575,0.0558622,0.0601979,0.022237,0.0331051,1.1035
4a3e9c4a4f0d,6,0.0008,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.0008,0.0423683,0.333333,0,0.50535,0.00114116,0.601966,0.200084,208.976,6.96586,3.47418,3.56623,0.0578178,0.042276,0.0228412,0.0353359,1.17786
cbd47e8df408,7,0.0008,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.0008,0.0471541,0.266667,0,0.53175,0.0012311,0.627527,0.256136,213.38,7.11265,4.28387,3.59046,0.0813461,0.0505109,0.110882,0.032102,1.07007
b32d9ce23c2f,8,0.0008,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.0008,0.0873454,0.333333,0,0.45175,0.000998072,0.629818,0.155255,188.843,6.29476,16.3021,14.3773,0.114886,0.0957275,0.0801564,0.0668668,2.22889
d45a16291e23,9,0.0008,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.0008,0.0482103,0.366667,0,0.511318,0.00103384,0.596445,0.260971,195.854,6.52846,1.33305,0.815313,0.0531851,0.0431076,0.0519226,0.0684838,2.28279
a34fd1cb9fcb,10,0.0008,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.0008,0.0261984,0.266667,0,0.520375,0.00124241,0.602524,0.262926,216.042,7.20141,2.77362,2.07706,0.0388986,0.0254677,0.0257616,0.0653643,2.17881
6a043325762e,11,0.0008,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.0008,0.0326835,0.233333,0,0.508929,0.00122193,0.637051,0.255685,216.197,7.20657,9.26768,3.91158,0.0380782,0.030971,0.0207991,0.0307522,1.02507
f871e8f9eaa6,12,0.0008,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.0008,0.0400503,0.3,0,0.503333,0.00109835,0.637923,0.232919,192.675,6.4225,6.19198,5.1395,0.0602778,0.0405531,0.043583,0.0613206,2.04402
02d8130dc389,13,0.0008,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.0008,0.0469555,0.3,0,0.505,0.00132172,0.595948,0.262428,217.53,7.25099,5.12395,4.48322,0.0720937,0.0433531,0.0563956,0.0322116,1.07372
57eefe83a2f9,14,0.0008,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.0008,0.0431165,0.3,0,0.497,0.00129434,0.613852,0.257396,183.378,6.1126,4.23491,3.54094,0.0753191,0.0353572,0.0197121,0.0329433,1.09811
2d4d21da99fe,15,0.0008,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.0008,0.043984,0.233333,0,0.492857,0.00111303,0.635902,0.273938,218.891,7.29637,5.54705,6.51034,0.0754242,0.0304701,0.00806383,0.0301645,1.00548
974593f2466f,16,0.0008,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.0008,0.0390494,0.233333,0,0.440571,0.00115349,0.613985,0.0914143,227.603,7.58675,3.02689,2.02612,0.0534305,0.0326662,0.0393768,0.0297521,0.991735
23071b9c79d2,17,0.0008,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.0008,0.0580556,0.3,0,0.450611,0.000986899,0.639521,0.0440309,195.255,6.5085,2.84309,1.98951,0.064341,0.0422021,0.0291635,0.0326482,1.08827
6880160ec415,18,0.0008,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.0008,0.0350904,0.266667,0,0.50175,0.0012288,0.627519,0.26573,198.302,6.61008,7.53235,5.15463,0.0796407,0.0402882,0.0914402,0.0317177,1.05726
344d1240bd2d,19,0.0008,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.0008,0.0465603,0.3,0,0.450667,0.00129754,0.585935,0.138687,215.691,7.18971,3.35536,3.0421,0.0651817,0.0481838,0.0493974,0.033134,1.10447
41db7db1a246,0,0.00142,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.00142,0.0373833,0.233333,0,0.484429,0.00124119,0.627401,0.267669,206.172,6.8724,0.935096,0.817374,0.0398724,0.0393181,0.0223831,0.0601661,2.00554
3acf52606310,1,0.00142,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.00142,0.0453322,0.3,0,0.511056,0.00123668,0.602788,0.244444,214.548,7.1516,1.00781,0.729112,0.048397,0.0395576,0.0167637,0.0643058,2.14353
31c4a83d3e4b,2,0.00142,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.00142,0.0526895,0.333333,0,0.4939,0.00123983,0.591422,0.101527,186.118,6.20393,6.98491,6.73089,0.0802352,0.0453971,0.0274849,0.0662492,2.20831
df900c5a6a82,3,0.00142,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.00142,0.0365109,0.266667,0,0.512938,0.00113865,0.626921,0.185585,204.025,6.80083,5.08038,4.52935,0.0613806,0.0243208,0.0146626,0.0635648,2.11883
da89ae143049,4,0.00142,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.00142,0.043408,0.266667,0,0.482875,0.00112992,0.616746,0.244381,200.102,6.67008,5.59316,4.82993,0.0553719,0.0376756,0.0493179,0.0313998,1.04666
e8ba527a7c85,5,0.00142,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.00142,0.051432,0.266667,0,0.448813,0.001229,0.607338,0.0605073,208.088,6.93627,1.47678,1.23089,0.0561557,0.0589459,0.0363448,0.031898,1.06327
587d8fb58192,6,0.00142,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.00142,0.0434259,0.333333,0,0.4991,0.00110068,0.60479,0.200644,209.347,6.97823,3.28008,3.43309,0.0576224,0.0424653,0.0201487,0.0341611,1.1387
b1abc70818d9,7,0.00142,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.00142,0.0472869,0.3,0,0.531944,0.00125143,0.601517,0.256138,213.17,7.10568,3.69,3.26391,0.0799288,0.0500111,0.0987652,0.0329622,1.09874
07710442f5a7,8,0.00142,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.00142,0.0918459,0.3,0,0.436444,0.00107233,0.59886,0.142555,189.76,6.32533,8.67694,9.09271,0.108987,0.094124,0.0439245,0.0635465,2.11822
6bb4f8bd2507,9,0.00142,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.00142,0.0467856,0.366667,0,0.509773,0.00136692,0.569378,0.145789,195.817,6.52724,1.13664,0.829179,0.0519387,0.0433971,0.0393485,0.0651947,2.17316
dda69b56a7d3,10,0.00142,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.00142,0.0264132,0.266667,0,0.518125,0.001231,0.601587,0.259387,216.02,7.20066,2.50638,2.09844,0.0397303,0.0253506,0.0240135,0.0640815,2.13605
4416264b4c4a,11,0.00142,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.00142,0.0322774,0.233333,0,0.493429,0.00126902,0.640291,0.255683,216.153,7.20511,5.45463,3.65753,0.0373863,0.031203,0.0278188,0.0626767,2.08922
799ca485ab42,12,0.00142,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.00142,0.0393286,0.3,0,0.506944,0.00111819,0.632125,0.232928,192.523,6.41743,5.85022,4.87465,0.060982,0.0406683,0.0449117,0.0323705,1.07902
c86e69e32b70,13,0.00142,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.00142,0.0479022,0.3,0,0.503167,0.00131971,0.595463,0.262422,217.544,7.25145,4.12383,3.61264,0.071146,0.0435422,0.0546574,0.0330817,1.10272
2e21c49a66dd,14,0.00142,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.00142,0.0417785,0.366667,0,0.500818,0.00111183,0.612836,0.25739,183.509,6.11697,4.8142,4.28694,0.0771351,0.0359291,0.0294696,0.0355807,1.18602
3f8fee706440,15,0.00142,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.00142,0.0432812,0.233333,0,0.493714,0.00110977,0.637698,0.273939,218.898,7.2966,5.63365,6.67861,0.0750876,0.0295774,0.0024417,0.0303177,1.01059
b503b14e04ea,16,0.00142,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.00142,0.0388932,0.233333,0,0.446286,0.00115271,0.599335,0.0945598,227.678,7.58928,2.90525,1.91321,0.0516572,0.0319035,0.0245183,0.0300016,1.00005
6b611c05ef9e,17,0.00142,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.00142,0.0584592,0.3,0,0.444111,0.000976926,0.631927,0.0365365,195.428,6.51427,2.34679,1.24119,0.068268,0.0433033,0.0462744,0.0674824,2.24941
c7aa55ef7380,18,0.00142,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.00142,0.0365143,0.3,0,0.492222,0.00118034,0.612493,0.206283,198.392,6.61308,6.58836,4.47389,0.0788147,0.0405322,0.0845371,0.0668771,2.22924
1c9ef61b276d,19,0.00142,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.00142,0.0465354,0.333333,0,0.4792,0.00117439,0.583788,0.117993,215.655,7.18849,3.56316,3.31088,0.0652182,0.0491324,0.0456841,0.0682895,2.27632
8e682dfca7e7,0,0.00253,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.00253,0.0374548,0.233333,0,0.464214,0.00120853,0.628192,0.267636,206.245,6.87485,0.772616,0.75667,0.0392692,0.0388752,0.0128236,0.0633199,2.11066
4b41a1dca447,1,0.00253,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.00253,0.0451867,0.3,0,0.511722,0.00121116,0.606366,0.244447,214.634,7.15446,1.02151,0.781193,0.0489187,0.0400687,0.0151045,0.0327702,1.09234
60eb32d4f343,2,0.00253,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.00253,0.0562734,0.333333,0,0.4876,0.00113266,0.598159,0.0954354,190.574,6.35246,6.99501,4.30407,0.0876896,0.0380482,0.0765794,0.033906,1.1302
06c40e1da767,3,0.00253,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.00253,0.0392707,0.266667,0,0.501125,0.00120933,0.612481,0.166684,203.863,6.79543,4.94147,4.13943,0.0636843,0.0252662,0.022685,0.0312238,1.04079
edf11675278c,4,0.00253,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.00253,0.0430555,0.266667,0,0.4835,0.00111045,0.622109,0.244384,199.989,6.66631,4.27932,3.98408,0.0551363,0.0382445,0.0395105,0.0313378,1.04459
d4a7808caa94,5,0.00253,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.00253,0.0506475,0.366667,0,0.454409,0.00118787,0.564103,0.0588337,208.6,6.95335,1.13371,0.932855,0.0521214,0.0579516,0.0116824,0.0665023,2.21674
8417ac1d07bc,6,0.00253,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.00253,0.0446976,0.333333,0,0.4882,0.00111646,0.59114,0.196759,209.022,6.96741,3.28541,3.22161,0.0583453,0.0437317,0.0185306,0.0346516,1.15505
3709996c71e5,7,0.00253,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.00253,0.0475003,0.3,0,0.532111,0.00119171,0.615348,0.25614,213.415,7.11383,3.59819,3.46164,0.0783475,0.0499633,0.0940044,0.0331904,1.10635
98f8c5327a88,8,0.00253,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.00253,0.0881714,0.333333,0,0.45685,0.00110624,0.595991,0.159927,189.294,6.30981,7.35937,6.71839,0.110697,0.0937256,0.0646007,0.0342876,1.14292
9df687ec74c7,9,0.00253,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.00253,0.0444287,0.366667,0,0.520545,0.00102292,0.614109,0.276692,196.672,6.55573,1.01051,0.619139,0.0502972,0.0428895,0.0430859,0.0681853,2.27284
017d660ec4ed,10,0.00253,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.00253,0.0273136,0.3,0,0.522667,0.00109811,0.620926,0.25787,215.68,7.18935,1.96901,2.03332,0.041727,0.0255521,0.022827,0.0631224,2.10408
8e0efdd35efd,11,0.00253,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.00253,0.0317024,0.233333,0,0.495429,0.00127468,0.632356,0.25568,215.896,7.19652,2.86995,2.54033,0.0367282,0.0312648,0.028886,0.0619599,2.06533
7a7d0fb4416b,12,0.00253,labdesktop,2026-09-20T09:56:35+00:00,1073b69d29e5,0.00253,0.0384108,0.3,0,0.480333,0.00136111,0.574192,0.232944,192.326,6.41086,4.92602,4.68023,0.0612296,0.0405345,0.0459135,0.0330455,1.10152
aa141698f867,13,0.00253,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.00253,0.0483738,0.3,0,0.497389,0.00131698,0.594843,0.262409,217.278,7.2426,3.7174,2.91407,0.0724654,0.0442866,0.0567817,0.0335788,1.11929
3f3c6dda4dd6,14,0.00253,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.00253,0.0417506,0.366667,0,0.504364,0.00112601,0.610506,0.250714,183.226,6.10755,4.45736,3.43914,0.0780931,0.0361996,0.0285989,0.0359685,1.19895
50c82b673b12,15,0.00253,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.00253,0.0422405,0.266667,0,0.506563,0.0010456,0.648199,0.27394,219.021,7.3007,6.25676,7.34622,0.0741949,0.0294407,0.00567225,0.0318061,1.0602
f62e6694902e,16,0.00253,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.00253,0.0398785,0.233333,0,0.436571,0.00112254,0.597995,0.0928892,227.9,7.59665,2.65702,1.92937,0.0510046,0.0316285,0.0102021,0.0300962,1.00321
2c991dddcaba,17,0.00253,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.00253,0.0565288,0.3,0,0.443944,0.00102153,0.616567,0.0410305,195.804,6.52682,2.59159,1.70898,0.0685588,0.0430955,0.0483252,0.065344,2.17813
6deb9b0db2fd,18,0.00253,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.00253,0.0363667,0.266667,0,0.498,0.00122124,0.620168,0.26572,198.309,6.61029,5.63514,4.50757,0.0797366,0.0412641,0.0854138,0.0645798,2.15266
76a1c79d0a61,19,0.00253,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.00253,0.0477449,0.333333,0,0.4846,0.00111625,0.591242,0.157567,215.57,7.18566,3.46403,2.99532,0.065692,0.0483833,0.043452,0.0672567,2.24189
88b0ac302870,0,0.0045,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.0045,0.0376568,0.266667,0,0.50125,0.00113658,0.630648,0.267577,206.202,6.87341,0.684643,0.666352,0.0390284,0.0388979,0.00661949,0.0633029,2.1101
d8bfdc1817b4,1,0.0045,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.0045,0.045036,0.333333,0,0.50675,0.00148387,0.583828,0.217505,214.665,7.1555,1.05545,0.780793,0.0481326,0.0405506,0.0150268,0.0347661,1.15887
2edfe9cd1b86,2,0.0045,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.0045,0.0515863,0.3,0,0.477056,0.00123867,0.618903,0.0883297,189.403,6.31342,4.24258,4.23897,0.0756368,0.037707,0.0237048,0.0330327,1.10109
be643bfd7d4f,3,0.0045,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.0045,0.0399228,0.266667,0,0.494375,0.00119159,0.60919,0.233563,203.765,6.79217,4.4272,3.75921,0.0652638,0.0253482,0.0280549,0.0314228,1.04743
16af8345bc60,4,0.0045,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.0045,0.0428057,0.233333,0,0.472429,0.00116037,0.621634,0.244388,200.208,6.67359,3.2433,3.16663,0.0545365,0.0382669,0.0323459,0.0306275,1.02092
ec2a8efe6dad,5,0.0045,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.0045,0.0489132,0.266667,0,0.462875,0.0010465,0.64061,0.0599628,210.35,7.01165,0.892173,0.484332,0.0514973,0.0600826,0.00995788,0.0637139,2.1238
04cdb4236236,6,0.0045,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.0045,0.0438717,0.333333,0,0.49655,0.00117082,0.591364,0.200471,208.88,6.96266,2.97843,2.82354,0.0574168,0.0428001,0.00982844,0.0664174,2.21391
4fdc1d71cdda,7,0.0045,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.0045,0.0464509,0.266667,0,0.519875,0.00121265,0.618658,0.256144,213.811,7.12703,3.17506,2.91382,0.0740901,0.0507001,0.0821468,0.0649916,2.16639
af80627c98fe,8,0.0045,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.0045,0.0909179,0.333333,0,0.4734,0.00105978,0.616413,0.162375,189.564,6.31881,6.25234,6.48635,0.10781,0.0915622,0.0468504,0.0370797,1.23599
e9c72aa02a2b,9,0.0045,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.0045,0.0422358,0.366667,0,0.502318,0.00108732,0.59189,0.227604,197.218,6.57393,0.987807,0.755215,0.0489822,0.0430999,0.0494629,0.063477,2.1159
99c12eee041c,10,0.0045,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.0045,0.0283301,0.266667,0,0.5135,0.00119791,0.612368,0.262245,215.758,7.19192,1.79896,1.82962,0.0432379,0.0257999,0.0290382,0.0320265,1.06755
cb66d8c48c82,11,0.0045,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.0045,0.0322256,0.266667,0,0.51425,0.00121869,0.627314,0.255673,215.624,7.18748,1.66341,1.5087,0.037264,0.0304435,0.0300178,0.03198,1.066
125f165b0685,12,0.0045,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.0045,0.0363752,0.3,0,0.489667,0.00130288,0.59014,0.232971,192.541,6.41804,4.2597,4.05712,0.0616726,0.0404512,0.0570893,0.0327751,1.0925
dc6f46b4e066,13,0.0045,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.0045,0.0478273,0.3,0,0.519444,0.00111141,0.622307,0.262387,217.425,7.24749,3.38754,2.69185,0.072701,0.0435341,0.0626694,0.0331129,1.10376
cf650872c8db,14,0.0045,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.0045,0.043642,0.366667,0,0.5115,0.00119223,0.601874,0.257361,183.369,6.11229,4.50837,3.44892,0.0792656,0.0367072,0.0314791,0.0645658,2.15219
defba43c9738,15,0.0045,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.0045,0.0428313,0.266667,0,0.507375,0.00105945,0.652467,0.27394,218.931,7.29771,6.38744,7.51384,0.0755158,0.0306681,0.00938649,0.0315497,1.05166
a1ad72127f44,16,0.0045,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.0045,0.03932,0.266667,0,0.455813,0.00111328,0.587846,0.101673,227.553,7.58511,2.32962,1.53292,0.0507783,0.0316881,0.00972917,0.0316644,1.05548
44cacf156e20,17,0.0045,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.0045,0.0569817,0.3,0,0.439667,0.00104748,0.600345,0.0292229,195.237,6.50789,2.58933,1.41815,0.07257,0.0439796,0.0588841,0.0636024,2.12008
da8430cf6839,18,0.0045,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.0045,0.0361677,0.266667,0,0.491,0.00121244,0.621182,0.265708,198.577,6.61923,5.09673,4.33217,0.0779668,0.0412798,0.0807251,0.0626681,2.08894
89f685556698,19,0.0045,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.0045,0.0484717,0.333333,0,0.48275,0.00121638,0.583969,0.177036,215.968,7.19892,3.12453,2.72275,0.0655629,0.046899,0.0407768,0.0617416,2.05805
9f3c495d7cb5,0,0.008,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.008,0.037761,0.266667,0,0.492812,0.00120341,0.61512,0.267467,206.058,6.86859,0.688604,0.595175,0.0395186,0.0402571,0.00376137,0.0327291,1.09097
244664ab85d9,1,0.008,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.008,0.0453211,0.333333,0,0.4968,0.00108669,0.610101,0.211217,214.469,7.14896,1.04637,0.719401,0.0483208,0.0404956,0.015828,0.0343636,1.14545
f372c9871c62,2,0.008,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.008,0.0555243,0.366667,0,0.506864,0.00112726,0.588972,0.0850804,188.914,6.29713,4.66146,3.72829,0.0835456,0.0427089,0.0313916,0.0372106,1.24035
a41640dd589e,3,0.008,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.008,0.0419067,0.3,0,0.512222,0.00115296,0.610857,0.27035,203.931,6.7977,3.56792,2.39462,0.0632612,0.0269834,0.0236784,0.0610723,2.03574
a356d0f5f015,4,0.008,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.008,0.0439521,0.266667,0,0.477438,0.00115586,0.606154,0.244398,199.99,6.66633,2.14708,2.08755,0.0544084,0.0370483,0.0263375,0.0317178,1.05726
4b04ffe36faa,5,0.008,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.008,0.0477435,0.266667,0,0.478187,0.00105699,0.651757,0.055154,210.863,7.02877,0.912643,0.706434,0.0501203,0.0594679,0.0182942,0.0608126,2.02709
29d98b6fdedc,6,0.008,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.008,0.0453467,0.333333,0,0.4947,0.0010083,0.619673,0.198983,208.802,6.96006,3.28853,3.08422,0.0590044,0.042905,0.0168928,0.0344789,1.1493
2d8b614cb6e3,7,0.008,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.008,0.0462359,0.3,0,0.536,0.00122312,0.628101,0.256147,213.887,7.12956,3.07649,2.61478,0.0740948,0.0516104,0.078474,0.0627301,2.091
80b569c4defb,8,0.008,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.008,0.0932734,0.3,0,0.445389,0.00109292,0.614371,0.138561,189.924,6.3308,6.19578,6.04679,0.107484,0.091948,0.0312406,0.0333763,1.11254
51603c9a967e,9,0.008,labdesktop,2026-09-20T09:56:36+00:00,1073b69d29e5,0.008,0.0422279,0.366667,0,0.511818,0.0010597,0.602379,0.228753,197.593,6.58643,1.05192,0.713063,0.0500896,0.0433977,0.0557278,0.0631285,2.10428
