run_id,seed,variant,host,date,code,turn_std,ate,resample_rate,collapses,unique_after_resampling,max_weight_mean,ess_mean,ess_min,log_likelihood,log_likelihood_per_step,nees_mean,nees_median,position_rmse,heading_rmse,final_position_error,runtime_total_s,runtime_per_step_ms
aac7c5e11cb2,0,0.0008,labdesktop,2026-09-20T09:56:23+00:00,1073b69d29e5,0.0008,0.0419305,0.1425,0,0.538263,0.00279036,0.683796,0.241948,2828.18,7.07046,12.0991,5.51689,0.0441331,0.0138573,0.0537018,0.264091,0.660227
259c07b712d9,1,0.0008,labdesktop,2026-09-20T09:56:23+00:00,1073b69d29e5,0.0008,0.0374071,0.145,0,0.524776,0.00278771,0.697614,0.0225329,2757.28,6.8932,9.18849,5.23512,0.0381137,0.0144134,0.0615112,0.265506,0.663766
e84a8c6276d1,2,0.0008,labdesktop,2026-09-20T09:56:23+00:00,1073b69d29e5,0.0008,0.499868,0.1575,0,0.481952,0.00269884,0.703695,0.00174308,-1867.18,-4.66796,76472.5,24.4927,0.499936,0.0179199,0.00607587,0.271795,0.679486
056e2b37c55b,3,0.0008,labdesktop,2026-09-20T09:56:23+00:00,1073b69d29e5,0.0008,1.39875,0.2675,0,0.505131,0.00278407,0.643014,0.00153402,-35542.8,-88.857,1.87906e+08,255.514,1.4031,0.0164771,0.0164648,0.304387,0.760968
4a802cf95a24,4,0.0008,labdesktop,2026-09-20T09:56:23+00:00,1073b69d29e5,0.0008,0.0456739,0.145,0,0.529552,0.00273085,0.707056,0.146766,2806.83,7.01708,17.4028,14.5713,0.0458132,0.0151676,0.0468779,0.230535,0.576338
27f8b578f93c,5,0.0008,labdesktop,2026-09-20T09:56:24+00:00,1073b69d29e5,0.0008,0.706638,0.17,0,0.503779,0.00260845,0.706038,0.00199902,-4834.77,-12.0869,583947,8.76351,0.706892,0.017356,0.0435983,0.246469,0.616172
79c325ef8cd3,6,0.0008,labdesktop,2026-09-20T09:56:23+00:00,1073b69d29e5,0.0008,0.0340793,0.1225,0,0.525776,0.00263448,0.715961,0.0964094,2879.35,7.19837,5.85303,2.68613,0.0347777,0.0133491,0.108747,0.224942,0.562355
c9c07f264326,7,0.0008,labdesktop,2026-09-20T09:56:24+00:00,1073b69d29e5,0.0008,0.0409964,0.14,0,0.545554,0.00273198,0.708817,0.101772,2812.4,7.031,8.65702,7.17296,0.0416195,0.015896,0.0395683,0.234382,0.585954
57a440567de0,8,0.0008,labdesktop,2026-09-20T09:56:24+00:00,1073b69d29e5,0.0008,2.17481,0.4375,0,0.465766,0.00261134,0.545808,0.00105103,-91297.4,-228.243,3.93597e+08,8444.07,2.18861,0.0354144,0.196361,0.326239,0.815596
de592abe30f5,9,0.0008,labdesktop,2026-09-20T09:56:24+00:00,1073b69d29e5,0.0008,0.0325904,0.1325,0,0.543075,0.00289647,0.699555,0.1902,2775.48,6.93869,6.86311,4.37667,0.0333814,0.0145006,0.0401403,0.228722,0.571805
334874d5e113,10,0.0008,labdesktop,2026-09-20T09:56:24+00:00,1073b69d29e5,0.0008,0.0334694,0.1275,0,0.536686,0.00281568,0.703809,0.179176,2825.62,7.06405,6.17062,4.59218,0.0351368,0.00970218,0.0658865,0.22469,0.561725
2a47743d9777,11,0.0008,labdesktop,2026-09-20T09:56:24+00:00,1073b69d29e5,0.0008,0.0556335,0.1425,0,0.507772,0.00280695,0.699592,0.001,2245.19,5.61298,4989.53,8.62266,0.0579624,0.013126,0.0492121,0.224181,0.560454
c771d818e22d,12,0.0008,labdesktop,2026-09-20T09:56:24+00:00,1073b69d29e5,0.0008,0.0450411,0.1475,0,0.536983,0.00267565,0.715603,0.114569,2795.39,6.98848,23.4566,11.9339,0.0517116,0.0158812,0.00618061,0.218613,0.546531
f177471e0a2f,13,0.0008,labdesktop,2026-09-20T09:56:24+00:00,1073b69d29e5,0.0008,0.0371773,0.13,0,0.503192,0.00267535,0.712015,0.00199328,2788.74,6.97184,1809.56,8.09325,0.0418939,0.0151608,0.0262935,0.217863,0.544658
416a05a18628,14,0.0008,labdesktop,2026-09-20T09:56:24+00:00,1073b69d29e5,0.0008,0.0430078,0.155,0,0.517823,0.00267205,0.703589,0.0333868,2714.31,6.78576,12.0517,6.5702,0.0439567,0.0128747,0.095748,0.222558,0.556396
04bc5114a7b7,15,0.0008,labdesktop,2026-09-20T09:56:24+00:00,1073b69d29e5,0.0008,0.704838,0.17,0,0.513221,0.00291382,0.688267,0.001,-7087.56,-17.7189,4.65734e+08,10.9164,0.705609,0.0144052,0.00913174,0.227121,0.567803
d4adc001f8a1,16,0.0008,labdesktop,2026-09-20T09:56:24+00:00,1073b69d29e5,0.0008,0.500484,0.1575,0,0.517905,0.00261239,0.719645,0.00113427,-2295.43,-5.73856,186526,23.7982,0.500771,0.0153932,0.0307047,0.224079,0.560199
4a0a3b48e69f,17,0.0008,labdesktop,2026-09-20T09:56:24+00:00,1073b69d29e5,0.0008,0.0388337,0.1425,0,0.514982,0.00273214,0.710287,0.0137724,2753.24,6.88311,8.89444,6.36343,0.0389712,0.0138981,0.0131477,0.221205,0.553012
372415356914,18,0.0008,labdesktop,2026-09-20T09:56:24+00:00,1073b69d29e5,0.0008,0.0424104,0.1375,0,0.525455,0.00290591,0.684743,0.0659545,2767.43,6.91858,10.1471,7.78406,0.0432918,0.0154773,0.0578503,0.224699,0.561748
f755df5a07f0,19,0.0008,labdesktop,2026-09-20T09:56:24+00:00,1073b69d29e5,0.0008,0.0366101,0.14,0,0.519857,0.00253019,0.723025,0.0774684,2710.3,6.77574,7.58865,4.77277,0.0373044,0.0161314,0.0372453,0.218541,0.546351
a951690ea0c3,0,0.00142,labdesktop,2026-09-20T09:56:25+00:00,1073b69d29e5,0.00142,0.0296447,0.135,0,0.531648,0.00280018,0.685368,0.159721,2842.72,7.10679,2.56057,1.95545,0.0304148,0.0128249,0.0266551,0.222703,0.556757
2fb4b21ad432,1,0.00142,labdesktop,2026-09-20T09:56:25+00:00,1073b69d29e5,0.00142,0.0326758,0.1525,0,0.530918,0.00288438,0.684244,0.0414248,2769.28,6.92319,3.21196,2.63873,0.033244,0.0140212,0.0264366,0.22514,0.562849
36f08837aa94,2,0.00142,labdesktop,2026-09-20T09:56:25+00:00,1073b69d29e5,0.00142,0.0438674,0.1525,0,0.511295,0.00274959,0.694418,0.0031802,2706.5,6.76625,6.56703,3.9555,0.0438818,0.0154758,0.00706762,0.250793,0.626981
b4cd3636ab51,3,0.00142,labdesktop,2026-09-20T09:56:25+00:00,1073b69d29e5,0.00142,0.0382786,0.14,0,0.528714,0.00268103,0.696675,0.0344289,2791.53,6.97881,6.77356,4.68301,0.0394865,0.0114486,0.0212372,0.222514,0.556286
