run_id,seed,variant,host,date,code,start,range_std,ate,resample_rate,collapses,unique_after_resampling,max_weight_mean,ess_mean,ess_min,log_likelihood,log_likelihood_per_step,nees_mean,nees_median,position_rmse,heading_rmse,final_position_error,runtime_total_s,runtime_per_step_ms
6e0b155a5c4f,0,"start: Known start, range_std: 0.08",labdesktop,2026-09-20T09:56:38+00:00,1073b69d29e5,known,0.08,0.0518333,0.6,0,0.406611,0.00122037,0.429403,0.0018314,2.86189,0.0953965,10.8136,8.79059,0.0630334,0.0654405,0.0333913,0.0822541,2.7418
fc331422bbdd,1,"start: Known start, range_std: 0.08",labdesktop,2026-09-20T09:56:38+00:00,1073b69d29e5,known,0.08,0.0711283,0.533333,0,0.368125,0.0011599,0.457672,0.0017718,40.8784,1.36261,80.3579,23.5356,0.0831716,0.083462,0.0373615,0.0789682,2.63227
10640683839f,2,"start: Known start, range_std: 0.08",labdesktop,2026-09-20T09:56:38+00:00,1073b69d29e5,known,0.08,0.056931,0.633333,0,0.421895,0.00102387,0.420335,0.0029143,-302.565,-10.0855,2270.77,991.285,0.164046,0.098799,0.246959,0.083216,2.77387
21c3b80f8816,3,"start: Known start, range_std: 0.08",labdesktop,2026-09-20T09:56:38+00:00,1073b69d29e5,known,0.08,0.0362688,0.766667,0,0.442457,0.000971892,0.340504,0.02753,7.98609,0.266203,13.9053,10.201,0.0592015,0.0382394,0.0247169,0.0926995,3.08998
d635f031fb5e,4,"start: Known start, range_std: 0.08",labdesktop,2026-09-20T09:56:39+00:00,1073b69d29e5,known,0.08,0.0430678,0.6,0,0.40025,0.00116232,0.406339,0.00398755,-30.7319,-1.0244,21.6776,17.0723,0.0609147,0.0501858,0.0667696,0.077788,2.59293
b99180567aa2,5,"start: Known start, range_std: 0.08",labdesktop,2026-09-20T09:56:39+00:00,1073b69d29e5,known,0.08,0.0542932,0.633333,0,0.434368,0.00169064,0.399007,0.000506697,-2051.97,-68.399,184569,42326.2,0.586681,0.174127,0.985584,0.077829,2.5943
76641acaf481,6,"start: Known start, range_std: 0.08",labdesktop,2026-09-20T09:56:39+00:00,1073b69d29e5,known,0.08,0.0481093,0.633333,0,0.373184,0.00106294,0.392227,0.00248853,-789.693,-26.3231,30184.4,9295.41,0.361884,0.123044,0.588446,0.0800856,2.66952
5ec9a4d9d190,7,"start: Known start, range_std: 0.08",labdesktop,2026-09-20T09:56:39+00:00,1073b69d29e5,known,0.08,0.0490368,0.6,0,0.393361,0.00116865,0.409424,0.0255791,12.7336,0.424452,183.322,86.0143,0.0966153,0.0523863,0.148223,0.079465,2.64883
c3f91586ad44,8,"start: Known start, range_std: 0.08",labdesktop,2026-09-20T09:56:39+00:00,1073b69d29e5,known,0.08,0.0525889,0.633333,0,0.428947,0.00126001,0.372124,0.00207124,-1361.57,-45.3858,102412,9028.93,0.499145,0.182142,0.869752,0.0457146,1.52382
2f69df0727f4,9,"start: Known start, range_std: 0.08",labdesktop,2026-09-20T09:56:39+00:00,1073b69d29e5,known,0.08,0.046873,0.533333,0,0.377844,0.00132957,0.410524,0.00111722,-536.926,-17.8975,12882,6842.35,0.282105,0.11868,0.412037,0.0412636,1.37545
