step,true_x,true_y,true_theta,est_x,est_y,est_theta
0,7.495067918295279,2.2507340289477717,1.5904643620724006,7.297982821192278,2.6888593015327724,0.19555736133393048
1,7.486127449995021,2.4918565551871303,1.607857876564176,7.403049653937249,2.390065073842683,-0.15896345671888198
2,7.471630288302975,2.748373533004391,1.6272516800573278,7.4873180801166885,2.7618894919813624,0.8046796254776808
3,7.452718351653922,2.9952339248233137,1.6472568224221908,7.51483041844346,3.027559325540231,0.9119561416426736
4,7.428151559220391,3.2399274074025963,1.670859250403808,7.429752448200753,3.1253399891004143,1.0560910580483398
5,7.398639257125205,3.4887071659317352,1.6888727359689328,7.355111653193099,3.345451491635973,0.8002763680204481
6,7.363160529008571,3.7407257212064984,1.7106554641816387,7.236978174504694,3.7584677292125916,1.01111265180828
7,7.323132667110117,3.9904972993134664,1.7297030153090094,7.134056519759613,3.9454892098447516,1.1606414371938922
8,7.27859138389351,4.236048386712436,1.750238357095731,7.33077266332676,4.354145243863756,1.3981833435824482
9,7.229235130440393,4.481400404683392,1.7693118853851046,7.166046035551336,4.670867380854075,1.6240450895166478
10,7.176151101353005,4.719046797274674,1.79056259624387,7.0103462197526625,4.825569180600491,1.7985635507635025
11,7.1175002499487405,4.959215360636167,1.8103153947210162,6.976028353122637,4.964874027025858,1.7809196200755182
12,7.054233575552469,5.197401414763268,1.8304200884286548,7.148742188571753,5.097827340074795,1.8272163902205678
13,6.98375404992981,5.443301682618926,1.849931606234921,6.908185253563719,5.516685406573645,1.6993352225549374
14,6.908688437418802,5.684849065230879,1.872104079269712,6.853562620343122,5.94210488763207,1.5021156286881656
15,6.830024752402461,5.921178520474187,1.8921172496389502,7.039586524230624,5.962171408809274,1.4930192952317303
16,6.742974506857665,6.164925286241832,1.9138123686881403,6.96150823676001,6.044238441589791,1.5407297032015561
17,6.654830142646318,6.39677296123626,1.9341025562697596,6.56166603348387,6.583504933740772,1.5828929202365207
18,6.560513943106908,6.63139383299555,1.9530205483172798,6.482259804350404,6.548089774243131,1.6670756323912264
19,6.4625042428276425,6.86301450587937,1.9710968135370517,6.546764799583143,6.827433200808713,1.8121603304685028
20,6.362940893033787,7.085543333583581,1.991500786841583,6.277569962601365,7.121226143662824,1.9964008400627784
21,6.255483377226298,7.316636161869103,2.0060516893137676,6.3195521556765835,7.2576944131949315,1.8371408642560876
22,6.145769191395821,7.541811526891217,2.0241829972820415,6.050528475989717,7.409337375530878,2.018466596163442
23,6.028368140050309,7.772338962739584,2.0418335896365774,6.118225917336419,7.664023440537682,1.8830235380215803
24,5.910397189997651,7.991525716877545,2.0645513320564772,5.943232590354835,7.812374700250716,1.9343071096953346
25,5.784107243948527,8.215727072202291,2.0837842290072013,5.826242351799793,8.218430273290544,2.0205631852546118
26,5.651942496784974,8.437445253881357,2.1083383837080834,5.555265513366289,8.451280099722293,2.180141442716666
27,5.514614949694576,8.656640130051386,2.130479978818125,5.511059285144821,8.773472560119123,2.2135449362371262
28,5.371568870614886,8.874920173031178,2.1509113332147325,5.305056732585835,8.569472385550709,2.299851955890314
29,5.228320137896656,9.084824976307644,2.16964380401762,5.223467296874702,9.300258805184466,1.8201939487069827
